word,The Blair Witch Project,Rosemary s Baby,total
starts,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
smokes,2,0,2
sky,2,0,2
sings,2,0,2
shows,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
sets,2,0,2
seconds,2,0,2
screwed,2,0,2
screams,2,0,2
scouted,2,0,2
schedule,2,0,2
salad,2,0,2
runs,2,0,2
row,2,0,2
road,2,0,2
rising,2,0,2
ripkin,2,0,2
rice,2,0,2
remain,2,0,2
redneck,2,0,2
rear,2,0,2
realize,2,0,2
reaching,2,0,2
ran,2,0,2
raisin,2,0,2
punch,2,0,2
pumpkin,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
pie,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
noises,2,0,2
naive,2,0,2
myth,2,0,2
mountain,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
messing,2,0,2
meatball,2,0,2
losing,2,0,2
lens,2,0,2
leaves,2,0,2
learn,2,0,2
laughter,2,0,2
laid,2,0,2
knocked,2,0,2
knees,2,0,2
king,2,0,2
kay,2,0,2
joshes,2,0,2
island,2,0,2
ieee,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
human,2,0,2
hitting,2,0,2
heavy,2,0,2
harry,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
gray,2,0,2
grab,2,0,2
goddamn,2,0,2
gilligan,2,0,2
gathering,2,0,2
fuckin,2,0,2
freaking,2,0,2
footsteps,2,0,2
fool,2,0,2
following,2,0,2
flashlight,2,0,2
fingers,2,0,2
finally,2,0,2
fighting,2,0,2
fight,2,0,2
field,2,0,2
feels,2,0,2
fart,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
eerie,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
driving,2,0,2
doubles,2,0,2
disgust,2,0,2
disappearing,2,0,2
direct,2,0,2
different,2,0,2
death,2,0,2
danger,2,0,2
dad,2,0,2
cross,2,0,2
crawl,2,0,2
cp,2,0,2
compared,2,0,2
community,2,0,2
comforts,2,0,2
closer,2,0,2
climb,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
cabin,2,0,2
breath,2,0,2
breaking,2,0,2
branches,2,0,2
bottom,2,0,2
blurry,2,0,2
blows,2,0,2
bloody,2,0,2
blank,2,0,2
bible,2,0,2
betrayed,2,0,2
begin,2,0,2
babbling,2,0,2
awe,2,0,2
arrives,2,0,2
appears,2,0,2
admit,2,0,2
zoom,1,0,1
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
yawns,1,0,1
yards,1,0,1
writings,1,0,1
wright,1,0,1
wrest,1,0,1
wouldve,1,0,1
worse,1,0,1
working,1,0,1
wool,1,0,1
wondered,1,0,1
womans,1,0,1
wives,1,0,1
wits,1,0,1
witchll,1,0,1
windshield,1,0,1
wildly,1,0,1
whispering,1,0,1
weird,1,0,1
weeps,1,0,1
weeds,1,0,1
weed,1,0,1
wed,1,0,1
weaver,1,0,1
weasel,1,0,1
waves,1,0,1
watching,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
wake,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
untie,1,0,1
unsnaged,1,0,1
unknown,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uhhms,1,0,1
twilights,1,0,1
turning,1,0,1
tumbling,1,0,1
trinkets,1,0,1
trick,1,0,1
trembling,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
track,1,0,1
touching,1,0,1
touched,1,0,1
total,1,0,1
tossed,1,0,1
toss,1,0,1
torture,1,0,1
torso,1,0,1
torn,1,0,1
tore,1,0,1
toe,1,0,1
toast,1,0,1
tightly,1,0,1
throwing,1,0,1
threatened,1,0,1
thinks,1,0,1
thew,1,0,1
theme,1,0,1
terror,1,0,1
terrified,1,0,1
tells,1,0,1
teeth,1,0,1
tears,1,0,1
tastes,1,0,1
tapings,1,0,1
tape,1,0,1
tall,1,0,1
tale,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
surprised,1,0,1
suns,1,0,1
sun,1,0,1
stutters,1,0,1
student,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
structure,1,0,1
strips,1,0,1
strip,1,0,1
string,1,0,1
stress,1,0,1
street,1,0,1
strap,1,0,1
stirring,1,0,1
stir,1,0,1
step,1,0,1
stench,1,0,1
state,1,0,1
starting,1,0,1
started,1,0,1
staring,1,0,1
stands,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spite,1,0,1
spirited,1,0,1
spilled,1,0,1
speed,1,0,1
specifically,1,0,1
speaking,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
somthin,1,0,1
someones,1,0,1
solid,1,0,1
soft,1,0,1
sob,1,0,1
smoking,1,0,1
smiles,1,0,1
smallest,1,0,1
slowly,1,0,1
slippery,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
sized,1,0,1
situation,1,0,1
site,1,0,1
sign,1,0,1
sides,1,0,1
shudders,1,0,1
shudder,1,0,1
shrinking,1,0,1
showing,1,0,1
shoves,1,0,1
shortcuts,1,0,1
ship,1,0,1
shhhhh,1,0,1
sheriff,1,0,1
share,1,0,1
shanty,1,0,1
shake,1,0,1
shack,1,0,1
setting,1,0,1
separate,1,0,1
selfish,1,0,1
season,1,0,1
searched,1,0,1
search,1,0,1
screaming,1,0,1
scratched,1,0,1
scientist,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
satisfied,1,0,1
salt,1,0,1
safety,1,0,1
safe,1,0,1
ruined,1,0,1
rubs,1,0,1
rounds,1,0,1
roots,1,0,1
rolls,1,0,1
rolling,1,0,1
roll,1,0,1
robin,1,0,1
roasted,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
remove,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
red,1,0,1
recorded,1,0,1
recall,1,0,1
reaches,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
quit,1,0,1
quick,1,0,1
puts,1,0,1
purpose,1,0,1
pure,1,0,1
punctuality,1,0,1
punching,1,0,1
pulls,1,0,1
pull,1,0,1
protruding,1,0,1
properly,1,0,1
profusely,1,0,1
process,1,0,1
pretend,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
police,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
pitch,1,0,1
piss,1,0,1
pick,1,0,1
phew,1,0,1
persons,1,0,1
personally,1,0,1
permission,1,0,1
paw,1,0,1
patterns,1,0,1
patch,1,0,1
pass,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
owl,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
offence,1,0,1
october,1,0,1
oclock,1,0,1
occultic,1,0,1
occult,1,0,1
occasion,1,0,1
obviously,1,0,1
oatmeal,1,0,1
numerous,1,0,1
noticing,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
noise,1,0,1
nods,1,0,1
ninety,1,0,1
nervously,1,0,1
neighbors,1,0,1
nearby,1,0,1
national,1,0,1
naked,1,0,1
nah,1,0,1
mystified,1,0,1
mustard,1,0,1
mucus,1,0,1
moves,1,0,1
mouths,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
missing,1,0,1
millimeter,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
market,1,0,1
marked,1,0,1
marches,1,0,1
mamma,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loudly,1,0,1
loud,1,0,1
looms,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
lit,1,0,1
lipstick,1,0,1
line,1,0,1
lifts,1,0,1
lift,1,0,1
licking,1,0,1
licked,1,0,1
level,1,0,1
lemme,1,0,1
legends,1,0,1
legend,1,0,1
leans,1,0,1
layers,1,0,1
laughed,1,0,1
laced,1,0,1
kept,1,0,1
keeps,1,0,1
jut,1,0,1
jumps,1,0,1
juice,1,0,1
joy,1,0,1
joke,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
jabbing,1,0,1
intestines,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
image,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hurrying,1,0,1
hurry,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huddling,1,0,1
hows,1,0,1
horror,1,0,1
hoooo,1,0,1
hole,1,0,1
holds,1,0,1
hmm,1,0,1
history,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
headstones,1,0,1
heads,1,0,1
haunt,1,0,1
hasnt,1,0,1
hardly,1,0,1
harder,1,0,1
hanging,1,0,1
handful,1,0,1
halloween,1,0,1
hairy,1,0,1
hairs,1,0,1
gutted,1,0,1
grunt,1,0,1
grocery,1,0,1
greek,1,0,1
graves,1,0,1
gravel,1,0,1
grapple,1,0,1
grandmothers,1,0,1
gory,1,0,1
gore,1,0,1
goddamned,1,0,1
goat,1,0,1
gleaming,1,0,1
glares,1,0,1
girlfriend,1,0,1
gilligans,1,0,1
gigantic,1,0,1
ghost,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
freezing,1,0,1
free,1,0,1
freaked,1,0,1
forward,1,0,1
forming,1,0,1
formation,1,0,1
forever,1,0,1
forest,1,0,1
forearm,1,0,1
followed,1,0,1
fogged,1,0,1
floor,1,0,1
flight,1,0,1
flashlights,1,0,1
flap,1,0,1
flannel,1,0,1
flames,1,0,1
flails,1,0,1
flag,1,0,1
fixes,1,0,1
fishing,1,0,1
fishermen,1,0,1
fires,1,0,1
finishing,1,0,1
finishes,1,0,1
finished,1,0,1
finely,1,0,1
final,1,0,1
filtered,1,0,1
filmmakers,1,0,1
filling,1,0,1
figure,1,0,1
fifteen,1,0,1
fiddling,1,0,1
fends,1,0,1
female,1,0,1
favorite,1,0,1
families,1,0,1
familiar,1,0,1
fallow,1,0,1
fallen,1,0,1
facing,1,0,1
extreme,1,0,1
expect,1,0,1
exists,1,0,1
exhausted,1,0,1
excellent,1,0,1
examine,1,0,1
everybodys,1,0,1
etched,1,0,1
essential,1,0,1
eof,1,0,1
entranced,1,0,1
entrance,1,0,1
entitled,1,0,1
energy,1,0,1
ends,1,0,1
ending,1,0,1
encounter,1,0,1
eighteenth,1,0,1
ehh,1,0,1
edge,1,0,1
eating,1,0,1
easier,1,0,1
earth,1,0,1
ear,1,0,1
eager,1,0,1
dry,1,0,1
drops,1,0,1
drives,1,0,1
drive,1,0,1
doorstep,1,0,1
doors,1,0,1
dollars,1,0,1
dissapeard,1,0,1
disheveled,1,0,1
discovery,1,0,1
directors,1,0,1
directly,1,0,1
differently,1,0,1
destroyed,1,0,1
desecration,1,0,1
descends,1,0,1
depth,1,0,1
department,1,0,1
deny,1,0,1
deliverance,1,0,1
decoration,1,0,1
decay,1,0,1
dawn,1,0,1
darker,1,0,1
dangling,1,0,1
curve,1,0,1
cult,1,0,1
crys,1,0,1
crumpled,1,0,1
crumbling,1,0,1
crudely,1,0,1
crouch,1,0,1
crossed,1,0,1
creepiest,1,0,1
creative,1,0,1
crawling,1,0,1
crack,1,0,1
covered,1,0,1
counts,1,0,1
coughs,1,0,1
corner,1,0,1
conversation,1,0,1
control,1,0,1
continue,1,0,1
confusion,1,0,1
confront,1,0,1
confessional,1,0,1
comprised,1,0,1
complete,1,0,1
complement,1,0,1
committed,1,0,1
comment,1,0,1
comfort,1,0,1
collapses,1,0,1
clumps,1,0,1
clue,1,0,1
clothes,1,0,1
closely,1,0,1
climbs,1,0,1
clamed,1,0,1
clacks,1,0,1
clacker,1,0,1
circling,1,0,1
chunk,1,0,1
chew,1,0,1
checked,1,0,1
charts,1,0,1
certain,1,0,1
ceremonial,1,0,1
cemeteries,1,0,1
caught,1,0,1
cart,1,0,1
carries,1,0,1
careful,1,0,1
canvas,1,0,1
calmer,1,0,1
cackle,1,0,1
bust,1,0,1
burning,1,0,1
bunch,1,0,1
bump,1,0,1
bugs,1,0,1
brink,1,0,1
breathes,1,0,1
breathe,1,0,1
brave,1,0,1
box,1,0,1
bordello,1,0,1
boooooooh,1,0,1
bolt,1,0,1
bolivia,1,0,1
body,1,0,1
bodied,1,0,1
bloodletting,1,0,1
bleed,1,0,1
bleating,1,0,1
bleached,1,0,1
bites,1,0,1
birthday,1,0,1
bends,1,0,1
belly,1,0,1
belive,1,0,1
beings,1,0,1
bath,1,0,1
bang,1,0,1
ballerina,1,0,1
backs,1,0,1
awww,1,0,1
autofocuses,1,0,1
attempting,1,0,1
attacks,1,0,1
attacking,1,0,1
article,1,0,1
apologize,1,0,1
apart,1,0,1
anytime,1,0,1
anyones,1,0,1
anthem,1,0,1
angry,1,0,1
angrily,1,0,1
anger,1,0,1
ancient,1,0,1
amusing,1,0,1
amount,1,0,1
amazing,1,0,1
alrighty,1,0,1
aloud,1,0,1
allowance,1,0,1
agreed,1,0,1
agree,1,0,1
agitated,1,0,1
act,1,0,1
absurd,1,0,1
absolute,1,0,1
abandoned,1,0,1
heather,0,525,525
mike,0,331,331
josh,0,274,274
cuts,0,113,113
fucking,0,95,95
okay,0,77,77
camera,0,62,62
map,0,44,44
fuck,0,39,39
tent,0,33,33
fisherman,0,23,23
car,0,21,21
woods,0,19,19
cut,0,18,18
begins,0,18,18
weve,0,15,15
video,0,15,15
joshs,0,15,15
distance,0,15,15
blair,0,15,15
voice,0,14,14
gotta,0,14,14
whispers,0,13,13
