word,The Witches of Eastwick,The Black Cauldron,total
shell,3,0,3
sense,3,0,3
selling,3,0,3
rid,3,0,3
relax,3,0,3
prissy,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
pay,3,0,3
number,3,0,3
newspaper,3,0,3
needed,3,0,3
nature,3,0,3
natural,3,0,3
mrs,3,0,3
mirror,3,0,3
local,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
honest,3,0,3
hardships,3,0,3
happening,3,0,3
foreign,3,0,3
fish,3,0,3
fabulous,3,0,3
drugs,3,0,3
double,3,0,3
days,3,0,3
daylight,3,0,3
crawl,3,0,3
couple,3,0,3
christ,3,0,3
cherry,3,0,3
came,3,0,3
butter,3,0,3
broad,3,0,3
braved,3,0,3
brains,3,0,3
bone,3,0,3
bond,3,0,3
bitch,3,0,3
alexandra,3,0,3
wilderness,2,0,2
went,2,0,2
waves,2,0,2
wasted,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
used,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
traveling,2,0,2
thursday,2,0,2
thumb,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
surprise,2,0,2
superior,2,0,2
started,2,0,2
soul,2,0,2
son,2,0,2
snakes,2,0,2
shop,2,0,2
shirts,2,0,2
seven,2,0,2
settle,2,0,2
selfish,2,0,2
seduce,2,0,2
sea,2,0,2
schylers,2,0,2
scares,2,0,2
scale,2,0,2
saying,2,0,2
reporting,2,0,2
rape,2,0,2
putting,2,0,2
prefer,2,0,2
practice,2,0,2
powerful,2,0,2
potent,2,0,2
playing,2,0,2
pistachio,2,0,2
pissing,2,0,2
pie,2,0,2
pick,2,0,2
phrases,2,0,2
person,2,0,2
paper,2,0,2
oversimplifying,2,0,2
overreact,2,0,2
outcries,2,0,2
opinion,2,0,2
ones,2,0,2
notes,2,0,2
normal,2,0,2
neff,2,0,2
morality,2,0,2
missed,2,0,2
miss,2,0,2
minutes,2,0,2
midwives,2,0,2
marrow,2,0,2
mansion,2,0,2
male,2,0,2
macrame,2,0,2
ls,2,0,2
lot,2,0,2
looked,2,0,2
limit,2,0,2
leg,2,0,2
landmark,2,0,2
kidding,2,0,2
jesus,2,0,2
intonation,2,0,2
imagine,2,0,2
hundreds,2,0,2
horse,2,0,2
history,2,0,2
hed,2,0,2
guy,2,0,2
growing,2,0,2
grow,2,0,2
goo,2,0,2
gave,2,0,2
garden,2,0,2
fruit,2,0,2
forgot,2,0,2
flow,2,0,2
fingers,2,0,2
families,2,0,2
exercise,2,0,2
entire,2,0,2
egrets,2,0,2
earth,2,0,2
dumb,2,0,2
dirt,2,0,2
direct,2,0,2
diddle,2,0,2
dicks,2,0,2
deserted,2,0,2
deep,2,0,2
david,2,0,2
daddy,2,0,2
coochie,2,0,2
considering,2,0,2
consciousness,2,0,2
column,2,0,2
clich,2,0,2
change,2,0,2
carol,2,0,2
burn,2,0,2
building,2,0,2
bravis,2,0,2
brava,2,0,2
brain,2,0,2
boring,2,0,2
birthday,2,0,2
bigger,2,0,2
bends,2,0,2
ballroom,2,0,2
bagels,2,0,2
babies,2,0,2
ass,2,0,2
america,2,0,2
afternoon,2,0,2
actually,2,0,2
zucchini,1,0,1
wrote,1,0,1
writer,1,0,1
worst,1,0,1
worlds,1,0,1
works,1,0,1
worked,1,0,1
wonderful,1,0,1
wonder,1,0,1
witchcraft,1,0,1
wishing,1,0,1
whoo,1,0,1
wetlands,1,0,1
wet,1,0,1
weird,1,0,1
weeks,1,0,1
wearing,1,0,1
waste,1,0,1
washes,1,0,1
wanting,1,0,1
vulgar,1,0,1
vodka,1,0,1
vibrato,1,0,1
vessels,1,0,1
vegetable,1,0,1
vaccine,1,0,1
untrue,1,0,1
unreal,1,0,1
ungrateful,1,0,1
unfaithful,1,0,1
unfair,1,0,1
unattractive,1,0,1
twit,1,0,1
twisted,1,0,1
twenty,1,0,1
turpitude,1,0,1
trough,1,0,1
trivial,1,0,1
treat,1,0,1
track,1,0,1
toxic,1,0,1
tourist,1,0,1
torture,1,0,1
torn,1,0,1
toothbrush,1,0,1
tooth,1,0,1
tongue,1,0,1
toes,1,0,1
tired,1,0,1
tip,1,0,1
tighten,1,0,1
tidal,1,0,1
thy,1,0,1
thursdays,1,0,1
thumbs,1,0,1
throwing,1,0,1
thee,1,0,1
thanks,1,0,1
test,1,0,1
terrific,1,0,1
ten,1,0,1
teach,1,0,1
taught,1,0,1
taste,1,0,1
tara,1,0,1
tapes,1,0,1
systems,1,0,1
sympathy,1,0,1
swear,1,0,1
supernatural,1,0,1
suing,1,0,1
suffocates,1,0,1
sued,1,0,1
sublime,1,0,1
study,1,0,1
students,1,0,1
strung,1,0,1
strove,1,0,1
stretch,1,0,1
strangest,1,0,1
stranger,1,0,1
stood,1,0,1
stimulating,1,0,1
spine,1,0,1
spiccato,1,0,1
spend,1,0,1
speech,1,0,1
spanish,1,0,1
spacious,1,0,1
source,1,0,1
sounds,1,0,1
sounded,1,0,1
sons,1,0,1
someones,1,0,1
solid,1,0,1
sold,1,0,1
socks,1,0,1
society,1,0,1
smell,1,0,1
slut,1,0,1
slowed,1,0,1
skies,1,0,1
sixteenth,1,0,1
singles,1,0,1
sideways,1,0,1
shout,1,0,1
shopping,1,0,1
shining,1,0,1
shelves,1,0,1
shed,1,0,1
shamelessness,1,0,1
serves,1,0,1
serpent,1,0,1
serious,1,0,1
separation,1,0,1
sent,1,0,1
senior,1,0,1
sell,1,0,1
selectwoman,1,0,1
selectperson,1,0,1
selectman,1,0,1
seduction,1,0,1
seducing,1,0,1
season,1,0,1
sculptress,1,0,1
screwed,1,0,1
science,1,0,1
school,1,0,1
schlong,1,0,1
scare,1,0,1
sanctimonious,1,0,1
sam,1,0,1
sake,1,0,1
rum,1,0,1
ruined,1,0,1
rubbish,1,0,1
romantic,1,0,1
rocks,1,0,1
riveting,1,0,1
riveted,1,0,1
ripe,1,0,1
ridgemont,1,0,1
retarded,1,0,1
respect,1,0,1
repulsive,1,0,1
reprehensible,1,0,1
rent,1,0,1
renovation,1,0,1
relaxing,1,0,1
recommend,1,0,1
rebirth,1,0,1
reason,1,0,1
realtors,1,0,1
reading,1,0,1
rattle,1,0,1
rational,1,0,1
raining,1,0,1
rained,1,0,1
rag,1,0,1
quilting,1,0,1
question,1,0,1
pussy,1,0,1
pushups,1,0,1
purposes,1,0,1
purpose,1,0,1
purple,1,0,1
pudenda,1,0,1
psychoanalysis,1,0,1
propagate,1,0,1
prominent,1,0,1
professional,1,0,1
profession,1,0,1
pretend,1,0,1
pressure,1,0,1
prescotts,1,0,1
prepared,1,0,1
praying,1,0,1
prayers,1,0,1
pouring,1,0,1
pound,1,0,1
potholders,1,0,1
possibly,1,0,1
positive,1,0,1
position,1,0,1
pornography,1,0,1
pools,1,0,1
pool,1,0,1
polite,1,0,1
pocus,1,0,1
plumbing,1,0,1
plain,1,0,1
pissed,1,0,1
pinches,1,0,1
pills,1,0,1
pill,1,0,1
piano,1,0,1
physically,1,0,1
perversions,1,0,1
personality,1,0,1
personal,1,0,1
perfume,1,0,1
perfectly,1,0,1
percentages,1,0,1
penis,1,0,1
peasy,1,0,1
pearls,1,0,1
pea,1,0,1
pathetic,1,0,1
passed,1,0,1
party,1,0,1
pardon,1,0,1
paranoid,1,0,1
paradise,1,0,1
ozzies,1,0,1
outrageous,1,0,1
ounce,1,0,1
orientals,1,0,1
ooh,1,0,1
office,1,0,1
nuts,1,0,1
nurse,1,0,1
nuclear,1,0,1
note,1,0,1
nose,1,0,1
nights,1,0,1
nest,1,0,1
neighbor,1,0,1
needlepoint,1,0,1
nazi,1,0,1
names,1,0,1
naked,1,0,1
mouth,1,0,1
mountains,1,0,1
mountain,1,0,1
mount,1,0,1
mothers,1,0,1
motherhood,1,0,1
mother,1,0,1
morn,1,0,1
mores,1,0,1
morally,1,0,1
mookie,1,0,1
monty,1,0,1
months,1,0,1
mom,1,0,1
modern,1,0,1
misery,1,0,1
minor,1,0,1
millions,1,0,1
milk,1,0,1
met,1,0,1
medieval,1,0,1
medical,1,0,1
medford,1,0,1
meant,1,0,1
matters,1,0,1
masculine,1,0,1
martooni,1,0,1
martha,1,0,1
married,1,0,1
marcato,1,0,1
major,1,0,1
majesties,1,0,1
magazines,1,0,1
lying,1,0,1
luxury,1,0,1
lump,1,0,1
loved,1,0,1
lousy,1,0,1
losing,1,0,1
lose,1,0,1
loose,1,0,1
lock,1,0,1
loathsome,1,0,1
ll,1,0,1
lips,1,0,1
line,1,0,1
limp,1,0,1
liked,1,0,1
liar,1,0,1
letterman,1,0,1
lenoxes,1,0,1
legato,1,0,1
lech,1,0,1
leader,1,0,1
laundry,1,0,1
later,1,0,1
language,1,0,1
labored,1,0,1
killer,1,0,1
killed,1,0,1
key,1,0,1
kept,1,0,1
junkie,1,0,1
juice,1,0,1
join,1,0,1
invited,1,0,1
invent,1,0,1
intimate,1,0,1
interviews,1,0,1
interviewed,1,0,1
intercourse,1,0,1
intelligence,1,0,1
intellectually,1,0,1
insult,1,0,1
instrument,1,0,1
insensitive,1,0,1
initial,1,0,1
individuals,1,0,1
independence,1,0,1
increase,1,0,1
inconvenient,1,0,1
incest,1,0,1
immune,1,0,1
hysterical,1,0,1
hurting,1,0,1
humor,1,0,1
humble,1,0,1
housework,1,0,1
household,1,0,1
housecleaning,1,0,1
horny,1,0,1
honor,1,0,1
homework,1,0,1
homes,1,0,1
holocaust,1,0,1
hocus,1,0,1
herbie,1,0,1
hemorrhaging,1,0,1
heartburn,1,0,1
healthy,1,0,1
health,1,0,1
hazards,1,0,1
hasnt,1,0,1
hardship,1,0,1
hanging,1,0,1
hang,1,0,1
handles,1,0,1
guys,1,0,1
guess,1,0,1
gravlax,1,0,1
gratitude,1,0,1
granted,1,0,1
grain,1,0,1
grace,1,0,1
gossip,1,0,1
gorgeous,1,0,1
golly,1,0,1
goddamn,1,0,1
gentlemen,1,0,1
genius,1,0,1
genetic,1,0,1
gathering,1,0,1
gallery,1,0,1
futility,1,0,1
fun,1,0,1
fucking,1,0,1
fruited,1,0,1
fridge,1,0,1
freezing,1,0,1
freezers,1,0,1
foundation,1,0,1
fought,1,0,1
forty,1,0,1
forgetting,1,0,1
force,1,0,1
forbearers,1,0,1
flowers,1,0,1
floods,1,0,1
flavor,1,0,1
fit,1,0,1
firing,1,0,1
filth,1,0,1
fighting,1,0,1
fidels,1,0,1
fertile,1,0,1
females,1,0,1
female,1,0,1
fellow,1,0,1
fed,1,0,1
favorites,1,0,1
favorite,1,0,1
fathers,1,0,1
fashionable,1,0,1
far,1,0,1
faith,1,0,1
exposed,1,0,1
exploiting,1,0,1
explanation,1,0,1
example,1,0,1
everythings,1,0,1
everybodys,1,0,1
estate,1,0,1
entertained,1,0,1
endured,1,0,1
endurance,1,0,1
ending,1,0,1
employ,1,0,1
empire,1,0,1
embodied,1,0,1
embarrassed,1,0,1
elijah,1,0,1
egret,1,0,1
effect,1,0,1
educated,1,0,1
eating,1,0,1
earthquakes,1,0,1
dyke,1,0,1
dtach,1,0,1
ds,1,0,1
dry,1,0,1
drinks,1,0,1
drinking,1,0,1
drake,1,0,1
drain,1,0,1
dozen,1,0,1
dominated,1,0,1
domestic,1,0,1
dolls,1,0,1
doll,1,0,1
doberman,1,0,1
dishes,1,0,1
disappearing,1,0,1
directness,1,0,1
dinner,1,0,1
dildos,1,0,1
dignity,1,0,1
dies,1,0,1
died,1,0,1
dick,1,0,1
diabolical,1,0,1
devouring,1,0,1
detail,1,0,1
desire,1,0,1
deserved,1,0,1
deserve,1,0,1
desertion,1,0,1
department,1,0,1
demonstrated,1,0,1
definitely,1,0,1
defend,1,0,1
deck,1,0,1
deaths,1,0,1
deaf,1,0,1
darren,1,0,1
danger,1,0,1
damn,1,0,1
daily,1,0,1
cut,1,0,1
cure,1,0,1
cup,1,0,1
culinary,1,0,1
crown,1,0,1
creatures,1,0,1
creature,1,0,1
crawling,1,0,1
craving,1,0,1
crap,1,0,1
count,1,0,1
coo,1,0,1
conversation,1,0,1
control,1,0,1
constitution,1,0,1
congratulations,1,0,1
confronted,1,0,1
complains,1,0,1
compared,1,0,1
common,1,0,1
comforting,1,0,1
colonies,1,0,1
cola,1,0,1
coincidence,1,0,1
coffee,1,0,1
cocksuckers,1,0,1
coca,1,0,1
club,1,0,1
clothes,1,0,1
clean,1,0,1
citizens,1,0,1
church,1,0,1
christs,1,0,1
chip,1,0,1
chinese,1,0,1
child,1,0,1
cheeseburger,1,0,1
cheap,1,0,1
characteristic,1,0,1
chaos,1,0,1
certainly,1,0,1
century,1,0,1
cavorting,1,0,1
cares,1,0,1
cards,1,0,1
car,1,0,1
cancellations,1,0,1
calories,1,0,1
callus,1,0,1
buying,1,0,1
busy,1,0,1
bump,1,0,1
build,1,0,1
brotherhood,1,0,1
breathe,1,0,1
breaking,1,0,1
breaked,1,0,1
bread,1,0,1
brandy,1,0,1
bra,1,0,1
bottom,1,0,1
borrow,1,0,1
borgias,1,0,1
booby,1,0,1
bodies,1,0,1
blushed,1,0,1
blossoms,1,0,1
blooms,1,0,1
bloodstream,1,0,1
blessings,1,0,1
bleed,1,0,1
bitches,1,0,1
births,1,0,1
birthing,1,0,1
birth,1,0,1
bermuda,1,0,1
beings,1,0,1
behavior,1,0,1
beds,1,0,1
bedroom,1,0,1
beautifully,1,0,1
bear,1,0,1
banging,1,0,1
balls,1,0,1
baby,1,0,1
average,1,0,1
attack,1,0,1
asunder,1,0,1
asleep,1,0,1
article,1,0,1
appetite,1,0,1
appeared,1,0,1
apparently,1,0,1
aphrodisiac,1,0,1
apartheid,1,0,1
anytime,1,0,1
animals,1,0,1
anal,1,0,1
amber,1,0,1
amazing,1,0,1
alzheimers,1,0,1
altered,1,0,1
allegro,1,0,1
alden,1,0,1
alcohol,1,0,1
alarmed,1,0,1
ahem,1,0,1
afford,1,0,1
afflicted,1,0,1
affects,1,0,1
affection,1,0,1
aesthetically,1,0,1
admire,1,0,1
added,1,0,1
act,1,0,1
acid,1,0,1
accident,1,0,1
accept,1,0,1
abiding,1,0,1
aah,1,0,1
daryl,0,20,20
alex,0,20,20
okay,0,16,16
woman,0,15,15
jane,0,15,15
clyde,0,15,15
felicia,0,14,14
sukie,0,13,13
yeah,0,10,10
happen,0,10,10
town,0,8,8
tickle,0,8,8
house,0,8,8
bought,0,8,8
van,0,7,7
play,0,7,7
walter,0,6,6
mm,0,6,6
kind,0,6,6
husband,0,6,6
horne,0,6,6
hi,0,6,6
fine,0,6,6
faster,0,6,6
family,0,6,6
cream,0,6,6
anybody,0,6,6
sweet,0,5,5
sick,0,5,5
pregnant,0,5,5
morning,0,5,5
lunch,0,5,5
lenox,0,5,5
ice,0,5,5
huh,0,5,5
having,0,5,5
girls,0,5,5
fuck,0,5,5
four,0,5,5
eastwick,0,5,5
doctor,0,5,5
whores,0,4,4
week,0,4,4
um,0,4,4
sweetheart,0,4,4
sugar,0,4,4
precision,0,4,4
passion,0,4,4
nobodys,0,4,4
liberty,0,4,4
interview,0,4,4
human,0,4,4
honey,0,4,4
five,0,4,4
fidel,0,4,4
divorce,0,4,4
disintegrating,0,4,4
chocolate,0,4,4
children,0,4,4
bed,0,4,4
appreciate,0,4,4
answer,0,4,4
york,0,3,3
win,0,3,3
wife,0,3,3
wash,0,3,3
upset,0,3,3
uhn,0,3,3
tomorrow,0,3,3
times,0,3,3
stupid,0,3,3
spofford,0,3,3
snowy,0,3,3
six,0,3,3
shut,0,3,3
shit,0,3,3
shh,0,3,3
shell,0,3,3
sense,0,3,3
selling,0,3,3
rid,0,3,3
relax,0,3,3
prissy,0,3,3
pianos,0,3,3
peculiar,0,3,3
peanut,0,3,3
pay,0,3,3
number,0,3,3
newspaper,0,3,3
needed,0,3,3
nature,0,3,3
natural,0,3,3
mrs,0,3,3
mirror,0,3,3
local,0,3,3
kid,0,3,3
jelly,0,3,3
janey,0,3,3
honest,0,3,3
hardships,0,3,3
happening,0,3,3
foreign,0,3,3
fish,0,3,3
fabulous,0,3,3
drugs,0,3,3
double,0,3,3
days,0,3,3
daylight,0,3,3
crawl,0,3,3
couple,0,3,3
christ,0,3,3
cherry,0,3,3
came,0,3,3
butter,0,3,3
broad,0,3,3
braved,0,3,3
brains,0,3,3
bone,0,3,3
bond,0,3,3
bitch,0,3,3
alexandra,0,3,3
wilderness,0,2,2
went,0,2,2
waves,0,2,2
wasted,0,2,2
vice,0,2,2
vast,0,2,2
values,0,2,2
used,0,2,2
unloads,0,2,2
uncontrollable,0,2,2
traveling,0,2,2
thursday,0,2,2
thumb,0,2,2
tennis,0,2,2
tamed,0,2,2
tall,0,2,2
talked,0,2,2
surprise,0,2,2
superior,0,2,2
started,0,2,2
soul,0,2,2
son,0,2,2
snakes,0,2,2
shop,0,2,2
shirts,0,2,2
seven,0,2,2
settle,0,2,2
selfish,0,2,2
seduce,0,2,2
sea,0,2,2
schylers,0,2,2
scares,0,2,2
scale,0,2,2
saying,0,2,2
reporting,0,2,2
rape,0,2,2
putting,0,2,2
prefer,0,2,2
practice,0,2,2
powerful,0,2,2
potent,0,2,2
playing,0,2,2
pistachio,0,2,2
pissing,0,2,2
pie,0,2,2
pick,0,2,2
phrases,0,2,2
person,0,2,2
paper,0,2,2
oversimplifying,0,2,2
overreact,0,2,2
outcries,0,2,2
opinion,0,2,2
ones,0,2,2
notes,0,2,2
normal,0,2,2
neff,0,2,2
morality,0,2,2
missed,0,2,2
miss,0,2,2
minutes,0,2,2
midwives,0,2,2
marrow,0,2,2
mansion,0,2,2
male,0,2,2
macrame,0,2,2
ls,0,2,2
lot,0,2,2
looked,0,2,2
limit,0,2,2
leg,0,2,2
landmark,0,2,2
kidding,0,2,2
jesus,0,2,2
intonation,0,2,2
imagine,0,2,2
hundreds,0,2,2
horse,0,2,2
history,0,2,2
hed,0,2,2
guy,0,2,2
growing,0,2,2
grow,0,2,2
goo,0,2,2
gave,0,2,2
garden,0,2,2
fruit,0,2,2
forgot,0,2,2
flow,0,2,2
fingers,0,2,2
families,0,2,2
exercise,0,2,2
entire,0,2,2
egrets,0,2,2
earth,0,2,2
dumb,0,2,2
dirt,0,2,2
direct,0,2,2
diddle,0,2,2
dicks,0,2,2
deserted,0,2,2
deep,0,2,2
david,0,2,2
daddy,0,2,2
coochie,0,2,2
considering,0,2,2
consciousness,0,2,2
column,0,2,2
clich,0,2,2
change,0,2,2
carol,0,2,2
burn,0,2,2
building,0,2,2
bravis,0,2,2
brava,0,2,2
brain,0,2,2
boring,0,2,2
birthday,0,2,2
bigger,0,2,2
bends,0,2,2
ballroom,0,2,2
bagels,0,2,2
babies,0,2,2
ass,0,2,2
america,0,2,2
afternoon,0,2,2
actually,0,2,2
zucchini,0,1,1
wrote,0,1,1
writer,0,1,1
worst,0,1,1
worlds,0,1,1
works,0,1,1
worked,0,1,1
wonderful,0,1,1
wonder,0,1,1
witchcraft,0,1,1
wishing,0,1,1
whoo,0,1,1
wetlands,0,1,1
wet,0,1,1
weird,0,1,1
weeks,0,1,1
wearing,0,1,1
waste,0,1,1
washes,0,1,1
wanting,0,1,1
vulgar,0,1,1
vodka,0,1,1
vibrato,0,1,1
vessels,0,1,1
vegetable,0,1,1
vaccine,0,1,1
untrue,0,1,1
unreal,0,1,1
ungrateful,0,1,1
unfaithful,0,1,1
unfair,0,1,1
unattractive,0,1,1
twit,0,1,1
