word,Halloweentown,Beautiful Creatures,total
seeing,2,2,4
reading,1,3,4
ran,2,2,4
poor,2,2,4
outside,1,3,4
name,1,3,4
met,2,2,4
meet,1,3,4
lucky,2,2,4
lost,3,1,4
loss,1,3,4
losing,2,2,4
kid,3,1,4
join,3,1,4
jerk,1,3,4
itll,2,2,4
instead,1,3,4
important,3,1,4
ideas,1,3,4
humming,3,1,4
hiding,1,3,4
glass,2,2,4
gives,1,3,4
forget,1,3,4
fighting,2,2,4
fact,2,2,4
expected,1,3,4
especially,3,1,4
drive,3,1,4
decide,1,3,4
daughter,2,2,4
date,2,2,4
darling,1,3,4
celebrate,2,2,4
calling,2,2,4
called,2,2,4
brother,3,1,4
boyfriend,1,3,4
born,2,2,4
best,2,2,4
appreciate,3,1,4
anymore,2,2,4
wondering,1,2,3
wonderful,2,1,3
whistle,2,1,3
went,1,2,3
weeks,1,2,3
waiting,2,1,3
using,1,2,3
unless,1,2,3
treating,2,1,3
taken,1,2,3
stronger,2,1,3
standing,1,2,3
spirits,1,2,3
sounds,1,2,3
sisters,1,2,3
shh,2,1,3
scary,1,2,3
running,2,1,3
ride,2,1,3
quick,2,1,3
promise,1,2,3
past,1,2,3
moving,2,1,3
moved,1,2,3
mouth,2,1,3
means,1,2,3
lovely,1,2,3
local,2,1,3
leaving,1,2,3
knows,1,2,3
king,2,1,3
hows,1,2,3
hoped,2,1,3
hit,1,2,3
high,1,2,3
having,2,1,3
hasnt,1,2,3
handle,2,1,3
hand,2,1,3
groaning,1,2,3
generations,1,2,3
future,2,1,3
freak,1,2,3
fall,1,2,3
explain,1,2,3
exist,1,2,3
em,2,1,3
electricity,1,2,3
eating,1,2,3
dressed,2,1,3
distract,2,1,3
distance,1,2,3
destroy,2,1,3
cross,1,2,3
count,1,2,3
continue,2,1,3
check,2,1,3
certain,1,2,3
bunch,2,1,3
brat,1,2,3
boys,1,2,3
boo,1,2,3
bit,2,1,3
attention,1,2,3
arent,1,2,3
age,2,1,3
worried,1,1,2
upset,1,1,2
twice,1,1,2
touch,1,1,2
title,1,1,2
tie,1,1,2
tickets,1,1,2
thursday,1,1,2
theater,1,1,2
thatll,1,1,2
talked,1,1,2
taking,1,1,2
suitcase,1,1,2
spirit,1,1,2
song,1,1,2
signs,1,1,2
shrimp,1,1,2
shows,1,1,2
showing,1,1,2
shot,1,1,2
second,1,1,2
scratch,1,1,2
scare,1,1,2
saw,1,1,2
rule,1,1,2
rest,1,1,2
respect,1,1,2
quiet,1,1,2
purpose,1,1,2
proud,1,1,2
properly,1,1,2
problem,1,1,2
pretending,1,1,2
prefer,1,1,2
plans,1,1,2
pain,1,1,2
offer,1,1,2
mysterious,1,1,2
mix,1,1,2
mile,1,1,2
marry,1,1,2
loud,1,1,2
listening,1,1,2
lady,1,1,2
kept,1,1,2
insanity,1,1,2
hypnotized,1,1,2
hungry,1,1,2
hour,1,1,2
horrible,1,1,2
hide,1,1,2
heres,1,1,2
hed,1,1,2
grow,1,1,2
grandmother,1,1,2
goodbye,1,1,2
glad,1,1,2
gave,1,1,2
front,1,1,2
forces,1,1,2
fooled,1,1,2
food,1,1,2
follows,1,1,2
followed,1,1,2
folks,1,1,2
finish,1,1,2
felt,1,1,2
feelings,1,1,2
extra,1,1,2
excited,1,1,2
everybodys,1,1,2
enjoy,1,1,2
energy,1,1,2
ends,1,1,2
eggs,1,1,2
educational,1,1,2
dying,1,1,2
drinking,1,1,2
dress,1,1,2
doorknob,1,1,2
dogs,1,1,2
details,1,1,2
destiny,1,1,2
degree,1,1,2
dated,1,1,2
daddy,1,1,2
crashing,1,1,2
concentrate,1,1,2
clear,1,1,2
character,1,1,2
century,1,1,2
cawing,1,1,2
causes,1,1,2
business,1,1,2
bury,1,1,2
broken,1,1,2
breakfast,1,1,2
belong,1,1,2
begin,1,1,2
beauty,1,1,2
bar,1,1,2
awful,1,1,2
apologize,1,1,2
amazing,1,1,2
alive,1,1,2
ahh,1,1,2
absolutely,1,1,2
grandma,56,0,56
marnie,36,0,36
sophie,20,0,20
ok,20,0,20
bus,20,0,20
halloween,19,0,19
halloweentown,17,0,17
talisman,14,0,14
dylan,14,0,14
cromwell,14,0,14
gwen,12,0,12
calabar,11,0,11
ha,9,0,9
training,8,0,8
stroke,8,0,8
march,8,0,8
luke,8,0,8
hair,8,0,8
guys,8,0,8
ghost,8,0,8
cromwells,8,0,8
open,7,0,7
aggie,7,0,7
weve,6,0,6
werewolf,6,0,6
vampires,6,0,6
sweat,6,0,6
moaning,6,0,6
guythur,6,0,6
grandmas,6,0,6
fight,6,0,6
broom,6,0,6
totally,5,0,5
somebodys,5,0,5
shell,5,0,5
presents,5,0,5
monsters,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
works,4,0,4
vu,4,0,4
tried,4,0,4
suppose,4,0,4
story,4,0,4
mommy,4,0,4
force,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
anoeth,4,0,4
witchs,3,0,3
warlock,3,0,3
supposed,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
simple,3,0,3
shadow,3,0,3
serious,3,0,3
screeching,3,0,3
roots,3,0,3
ringing,3,0,3
plus,3,0,3
panic,3,0,3
neat,3,0,3
midnight,3,0,3
marnies,3,0,3
luck,3,0,3
lit,3,0,3
kitchen,3,0,3
involved,3,0,3
installing,3,0,3
humans,3,0,3
happening,3,0,3
grammy,3,0,3
finally,3,0,3
fellow,3,0,3
fang,3,0,3
eye,3,0,3
eh,3,0,3
dumb,3,0,3
decorations,3,0,3
decided,3,0,3
creature,3,0,3
couldve,3,0,3
costume,3,0,3
caffeine,3,0,3
button,3,0,3
brew,3,0,3
betty,3,0,3
ago,3,0,3
aboard,3,0,3
yay,2,0,2
worst,2,0,2
worlds,2,0,2
wondered,2,0,2
wiener,2,0,2
wheres,2,0,2
wall,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
truth,2,0,2
treat,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
th,2,0,2
sweetie,2,0,2
stopping,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
skeletons,2,0,2
shopping,2,0,2
shop,2,0,2
shoe,2,0,2
shelter,2,0,2
schedule,2,0,2
round,2,0,2
river,2,0,2
recipe,2,0,2
raise,2,0,2
punk,2,0,2
pumpkin,2,0,2
precious,2,0,2
polite,2,0,2
plenty,2,0,2
pins,2,0,2
overlapping,2,0,2
ornament,2,0,2
nutcase,2,0,2
needs,2,0,2
needles,2,0,2
mothers,2,0,2
moms,2,0,2
mistake,2,0,2
missing,2,0,2
merlins,2,0,2
lock,2,0,2
line,2,0,2
lift,2,0,2
leftovers,2,0,2
keeps,2,0,2
jobs,2,0,2
iron,2,0,2
install,2,0,2
ingredients,2,0,2
hung,2,0,2
hoping,2,0,2
happy,2,0,2
handsome,2,0,2
half,2,0,2
grunting,2,0,2
grownup,2,0,2
goodness,2,0,2
goblins,2,0,2
funny,2,0,2
fun,2,0,2
fill,2,0,2
fear,2,0,2
ew,2,0,2
eat,2,0,2
duh,2,0,2
dude,2,0,2
drat,2,0,2
downer,2,0,2
disappeared,2,0,2
disappear,2,0,2
dangerous,2,0,2
cute,2,0,2
couple,2,0,2
costumes,2,0,2
chowder,2,0,2
chicken,2,0,2
cheese,2,0,2
chatter,2,0,2
changed,2,0,2
catch,2,0,2
buying,2,0,2
buster,2,0,2
bubble,2,0,2
brooms,2,0,2
bone,2,0,2
blowing,2,0,2
benny,2,0,2
bag,2,0,2
asleep,2,0,2
altogether,2,0,2
agatha,2,0,2
zip,1,0,1
zero,1,0,1
youth,1,0,1
yells,1,0,1
yee,1,0,1
write,1,0,1
wrap,1,0,1
wor,1,0,1
woods,1,0,1
wonderfully,1,0,1
wolfies,1,0,1
wolf,1,0,1
wished,1,0,1
winning,1,0,1
winner,1,0,1
windsweeper,1,0,1
win,1,0,1
williams,1,0,1
wild,1,0,1
wiccan,1,0,1
welsh,1,0,1
weirdo,1,0,1
wears,1,0,1
wastrel,1,0,1
waste,1,0,1
washed,1,0,1
warts,1,0,1
warlocks,1,0,1
volunteer,1,0,1
vivida,1,0,1
visits,1,0,1
visit,1,0,1
video,1,0,1
vi,1,0,1
verge,1,0,1
vastly,1,0,1
vanquished,1,0,1
vacation,1,0,1
urgent,1,0,1
urban,1,0,1
upstairs,1,0,1
upsetting,1,0,1
upitidas,1,0,1
unibody,1,0,1
unfair,1,0,1
underworld,1,0,1
underestimate,1,0,1
uncovered,1,0,1
unchecked,1,0,1
ugly,1,0,1
ugliest,1,0,1
ugh,1,0,1
twerp,1,0,1
troubles,1,0,1
troublemakers,1,0,1
trimmings,1,0,1
tricks,1,0,1
trees,1,0,1
treatment,1,0,1
trap,1,0,1
transparent,1,0,1
toxic,1,0,1
top,1,0,1
tooth,1,0,1
tolling,1,0,1
toil,1,0,1
tight,1,0,1
ticket,1,0,1
threatens,1,0,1
third,1,0,1
thinning,1,0,1
thermostat,1,0,1
theirs,1,0,1
thee,1,0,1
thatd,1,0,1
tend,1,0,1
technician,1,0,1
taste,1,0,1
tantrum,1,0,1
taller,1,0,1
tackle,1,0,1
system,1,0,1
swimming,1,0,1
sweeping,1,0,1
sundae,1,0,1
sulfuric,1,0,1
suit,1,0,1
suffice,1,0,1
suffer,1,0,1
success,1,0,1
styx,1,0,1
stuffs,1,0,1
studies,1,0,1
streets,1,0,1
street,1,0,1
strange,1,0,1
store,1,0,1
stomach,1,0,1
stolen,1,0,1
stir,1,0,1
stinky,1,0,1
sticky,1,0,1
stereotypes,1,0,1
step,1,0,1
static,1,0,1
starts,1,0,1
stars,1,0,1
stare,1,0,1
stand,1,0,1
squishing,1,0,1
squawking,1,0,1
square,1,0,1
springer,1,0,1
spread,1,0,1
spook,1,0,1
split,1,0,1
spends,1,0,1
specifically,1,0,1
speaking,1,0,1
sounded,1,0,1
sorts,1,0,1
songs,1,0,1
somethings,1,0,1
snowman,1,0,1
snazzier,1,0,1
smelled,1,0,1
smell,1,0,1
smallest,1,0,1
slobbering,1,0,1
slimiest,1,0,1
slams,1,0,1
sky,1,0,1
skinner,1,0,1
sixth,1,0,1
six,1,0,1
silly,1,0,1
shrub,1,0,1
showed,1,0,1
short,1,0,1
shelves,1,0,1
shed,1,0,1
settled,1,0,1
settle,1,0,1
sesame,1,0,1
seriously,1,0,1
separate,1,0,1
send,1,0,1
secret,1,0,1
sea,1,0,1
scheduling,1,0,1
savory,1,0,1
saving,1,0,1
sand,1,0,1
sance,1,0,1
salad,1,0,1
sake,1,0,1
safe,1,0,1
sadie,1,0,1
rush,1,0,1
runs,1,0,1
ruler,1,0,1
ruled,1,0,1
rooms,1,0,1
rite,1,0,1
risks,1,0,1
rightfully,1,0,1
rhyme,1,0,1
residents,1,0,1
resemblance,1,0,1
replacement,1,0,1
repelle,1,0,1
removes,1,0,1
removed,1,0,1
remembering,1,0,1
recruit,1,0,1
reclaim,1,0,1
reasons,1,0,1
razor,1,0,1
raunchiest,1,0,1
radio,1,0,1
rad,1,0,1
quod,1,0,1
queen,1,0,1
quarter,1,0,1
pushed,1,0,1
purple,1,0,1
pumpkins,1,0,1
pta,1,0,1
proves,1,0,1
protecting,1,0,1
proper,1,0,1
professionals,1,0,1
problems,1,0,1
prince,1,0,1
prepare,1,0,1
precisely,1,0,1
practice,1,0,1
practically,1,0,1
pouring,1,0,1
potato,1,0,1
possibly,1,0,1
point,1,0,1
plastic,1,0,1
pitched,1,0,1
pimple,1,0,1
picked,1,0,1
pick,1,0,1
personally,1,0,1
person,1,0,1
period,1,0,1
pentagram,1,0,1
peace,1,0,1
pat,1,0,1
passed,1,0,1
passage,1,0,1
pardon,1,0,1
panting,1,0,1
palm,1,0,1
overrated,1,0,1
overnight,1,0,1
ought,1,0,1
original,1,0,1
omelets,1,0,1
odor,1,0,1
odds,1,0,1
occur,1,0,1
obviously,1,0,1
obvious,1,0,1
obsessed,1,0,1
notebook,1,0,1
nose,1,0,1
nos,1,0,1
nights,1,0,1
nicest,1,0,1
nicely,1,0,1
neighbors,1,0,1
neighbor,1,0,1
needed,1,0,1
natures,1,0,1
nameless,1,0,1
nada,1,0,1
nachos,1,0,1
myth,1,0,1
musty,1,0,1
mushroom,1,0,1
museum,1,0,1
muffled,1,0,1
muffin,1,0,1
motorcycle,1,0,1
moose,1,0,1
mood,1,0,1
monster,1,0,1
monkeys,1,0,1
mold,1,0,1
models,1,0,1
mode,1,0,1
mocking,1,0,1
mistaken,1,0,1
miserable,1,0,1
mirage,1,0,1
minivans,1,0,1
minimart,1,0,1
microchip,1,0,1
metallic,1,0,1
message,1,0,1
merlin,1,0,1
merely,1,0,1
meetings,1,0,1
mayors,1,0,1
math,1,0,1
match,1,0,1
master,1,0,1
masks,1,0,1
mask,1,0,1
marrying,1,0,1
marlie,1,0,1
mark,1,0,1
making,1,0,1
magical,1,0,1
lunch,1,0,1
lon,1,0,1
lollypop,1,0,1
loki,1,0,1
logic,1,0,1
lodge,1,0,1
locked,1,0,1
liver,1,0,1
limp,1,0,1
likes,1,0,1
lights,1,0,1
legal,1,0,1
leftover,1,0,1
leaves,1,0,1
learn,1,0,1
league,1,0,1
la,1,0,1
knee,1,0,1
kiss,1,0,1
killing,1,0,1
kiddin,1,0,1
judge,1,0,1
jubentis,1,0,1
joins,1,0,1
joe,1,0,1
jerry,1,0,1
jaded,1,0,1
interested,1,0,1
instant,1,0,1
influence,1,0,1
impressionable,1,0,1
impossible,1,0,1
impetit,1,0,1
immune,1,0,1
imitation,1,0,1
imitated,1,0,1
imagination,1,0,1
ice,1,0,1
hum,1,0,1
huge,1,0,1
hubble,1,0,1
howls,1,0,1
howdy,1,0,1
hot,1,0,1
honor,1,0,1
homes,1,0,1
hips,1,0,1
hints,1,0,1
hieroglyphics,1,0,1
hid,1,0,1
hereditary,1,0,1
herb,1,0,1
helps,1,0,1
heads,1,0,1
headless,1,0,1
headache,1,0,1
haunts,1,0,1
hateful,1,0,1
hanging,1,0,1
handful,1,0,1
handed,1,0,1
hallucinating,1,0,1
hairstyling,1,0,1
hades,1,0,1
gwens,1,0,1
gwendolyn,1,0,1
guts,1,0,1
gunther,1,0,1
gum,1,0,1
guggenheim,1,0,1
grown,1,0,1
growing,1,0,1
grounded,1,0,1
grip,1,0,1
graveyards,1,0,1
grandmothers,1,0,1
grandkids,1,0,1
goose,1,0,1
goin,1,0,1
gnomes,1,0,1
gnome,1,0,1
glory,1,0,1
glo,1,0,1
giving,1,0,1
gang,1,0,1
gander,1,0,1
gah,1,0,1
fungus,1,0,1
fumes,1,0,1
full,1,0,1
frustrating,1,0,1
frozen,1,0,1
frog,1,0,1
frightening,1,0,1
freezes,1,0,1
frankenstein,1,0,1
formula,1,0,1
forgotten,1,0,1
forgot,1,0,1
forced,1,0,1
foolish,1,0,1
flying,1,0,1
fly,1,0,1
flowers,1,0,1
flights,1,0,1
fitness,1,0,1
fit,1,0,1
fish,1,0,1
finishing,1,0,1
fingertips,1,0,1
finds,1,0,1
filet,1,0,1
field,1,0,1
fetch,1,0,1
fell,1,0,1
feared,1,0,1
fast,1,0,1
fare,1,0,1
fairy,1,0,1
failed,1,0,1
faces,1,0,1
fabulous,1,0,1
eyeballs,1,0,1
explore,1,0,1
expert,1,0,1
exotic,1,0,1
exiled,1,0,1
exile,1,0,1
excuses,1,0,1
exciting,1,0,1
excellent,1,0,1
everyones,1,0,1
evening,1,0,1
eureka,1,0,1
espresso,1,0,1
escape,1,0,1
english,1,0,1
energies,1,0,1
encyclopedia,1,0,1
encouragement,1,0,1
emergency,1,0,1
election,1,0,1
egyptian,1,0,1
earlier,1,0,1
ear,1,0,1
dybbuks,1,0,1
dryers,1,0,1
dropping,1,0,1
drop,1,0,1
drives,1,0,1
driver,1,0,1
dreadful,1,0,1
drawing,1,0,1
dragonfly,1,0,1
dozens,1,0,1
dow,1,0,1
dollars,1,0,1
documentary,1,0,1
doctor,1,0,1
doc,1,0,1
district,1,0,1
disobey,1,0,1
disneylands,1,0,1
disease,1,0,1
discussion,1,0,1
discovered,1,0,1
directional,1,0,1
differently,1,0,1
dictu,1,0,1
detailing,1,0,1
depressed,1,0,1
demon,1,0,1
deluxe,1,0,1
delayed,1,0,1
degrees,1,0,1
defies,1,0,1
dears,1,0,1
dawn,1,0,1
dank,1,0,1
curb,1,0,1
cupidinis,1,0,1
cs,1,0,1
cruise,1,0,1
cromwwell,1,0,1
croaking,1,0,1
crispy,1,0,1
create,1,0,1
cream,1,0,1
coven,1,0,1
copied,1,0,1
cookin,1,0,1
cookbook,1,0,1
cook,1,0,1
controlled,1,0,1
contest,1,0,1
construction,1,0,1
conserve,1,0,1
consequences,1,0,1
conquering,1,0,1
conquer,1,0,1
confess,1,0,1
completion,1,0,1
completely,1,0,1
compared,1,0,1
comedian,1,0,1
closing,1,0,1
closed,1,0,1
clock,1,0,1
cleveland,1,0,1
clan,1,0,1
claims,1,0,1
citizens,1,0,1
ciente,1,0,1
chrome,1,0,1
chose,1,0,1
choices,1,0,1
chocolate,1,0,1
childhood,1,0,1
chickens,1,0,1
chez,1,0,1
cheering,1,0,1
chattering,1,0,1
charter,1,0,1
characters,1,0,1
chaos,1,0,1
chaney,1,0,1
certainly,1,0,1
cereal,1,0,1
cellar,1,0,1
cavities,1,0,1
cauldron,1,0,1
cast,1,0,1
carpet,1,0,1
candle,1,0,1
cackles,1,0,1
cab,1,0,1
buy,1,0,1
busy,1,0,1
buses,1,0,1
burning,1,0,1
bums,1,0,1
bs,1,0,1
brothers,1,0,1
bristles,1,0,1
bringing,1,0,1
bride,1,0,1
brave,1,0,1
box,1,0,1
bowls,1,0,1
bowling,1,0,1
bowl,1,0,1
boss,1,0,1
borealis,1,0,1
bones,1,0,1
bonehead,1,0,1
bogeyman,1,0,1
blue,1,0,1
blade,1,0,1
bitten,1,0,1
bite,1,0,1
birthright,1,0,1
bikinis,1,0,1
benighted,1,0,1
bend,1,0,1
believing,1,0,1
beeping,1,0,1
bedtime,1,0,1
beds,1,0,1
beating,1,0,1
barking,1,0,1
banshees,1,0,1
baked,1,0,1
badgering,1,0,1
babysitter,1,0,1
aware,1,0,1
awake,1,0,1
available,1,0,1
aurora,1,0,1
audience,1,0,1
assume,1,0,1
arthurs,1,0,1
arthur,1,0,1
arrived,1,0,1
arms,1,0,1
arguing,1,0,1
argh,1,0,1
arbor,1,0,1
appreciates,1,0,1
apple,1,0,1
applause,1,0,1
annoys,1,0,1
animatronic,1,0,1
animal,1,0,1
ancient,1,0,1
aleck,1,0,1
agua,1,0,1
aggies,1,0,1
ages,1,0,1
afterlife,1,0,1
added,1,0,1
acid,1,0,1
abracadabra,1,0,1
abominable,1,0,1
grandma,0,56,56
marnie,0,36,36
sophie,0,20,20
ok,0,20,20
bus,0,20,20
halloween,0,19,19
halloweentown,0,17,17
talisman,0,14,14
dylan,0,14,14
cromwell,0,14,14
gwen,0,12,12
calabar,0,11,11
ha,0,9,9
training,0,8,8
stroke,0,8,8
march,0,8,8
luke,0,8,8
hair,0,8,8
guys,0,8,8
ghost,0,8,8
cromwells,0,8,8
open,0,7,7
aggie,0,7,7
weve,0,6,6
werewolf,0,6,6
vampires,0,6,6
sweat,0,6,6
moaning,0,6,6
guythur,0,6,6
grandmas,0,6,6
fight,0,6,6
broom,0,6,6
totally,0,5,5
somebodys,0,5,5
shell,0,5,5
presents,0,5,5
monsters,0,5,5
harriet,0,5,5
gugaun,0,5,5
ghosts,0,5,5
candy,0,5,5
bid,0,5,5
attendant,0,5,5
works,0,4,4
vu,0,4,4
tried,0,4,4
suppose,0,4,4
story,0,4,4
mommy,0,4,4
force,0,4,4
dja,0,4,4
cledyfrutm,0,4,4
anoeth,0,4,4
witchs,0,3,3
warlock,0,3,3
supposed,0,3,3
statues,0,3,3
soph,0,3,3
soapy,0,3,3
simple,0,3,3
shadow,0,3,3
serious,0,3,3
screeching,0,3,3
roots,0,3,3
ringing,0,3,3
plus,0,3,3
panic,0,3,3
neat,0,3,3
midnight,0,3,3
marnies,0,3,3
luck,0,3,3
lit,0,3,3
kitchen,0,3,3
involved,0,3,3
installing,0,3,3
humans,0,3,3
happening,0,3,3
grammy,0,3,3
finally,0,3,3
fellow,0,3,3
fang,0,3,3
eye,0,3,3
eh,0,3,3
dumb,0,3,3
decorations,0,3,3
decided,0,3,3
creature,0,3,3
couldve,0,3,3
costume,0,3,3
caffeine,0,3,3
button,0,3,3
brew,0,3,3
betty,0,3,3
ago,0,3,3
aboard,0,3,3
yay,0,2,2
worst,0,2,2
worlds,0,2,2
wondered,0,2,2
wiener,0,2,2
wheres,0,2,2
wall,0,2,2
vegetables,0,2,2
vampire,0,2,2
tv,0,2,2
truth,0,2,2
treat,0,2,2
trained,0,2,2
traditions,0,2,2
tradition,0,2,2
th,0,2,2
sweetie,0,2,2
stopping,0,2,2
squawks,0,2,2
spore,0,2,2
someplace,0,2,2
snot,0,2,2
skeletons,0,2,2
shopping,0,2,2
shop,0,2,2
shoe,0,2,2
shelter,0,2,2
schedule,0,2,2
round,0,2,2
river,0,2,2
recipe,0,2,2
raise,0,2,2
punk,0,2,2
pumpkin,0,2,2
precious,0,2,2
polite,0,2,2
plenty,0,2,2
pins,0,2,2
overlapping,0,2,2
ornament,0,2,2
nutcase,0,2,2
needs,0,2,2
needles,0,2,2
