word,The Witches of Eastwick,I Married a Witch,total
stopped,1,1,2
someones,1,1,2
solid,1,1,2
smell,1,1,2
serious,1,1,2
sent,1,1,2
scare,1,1,2
sake,1,1,2
running,1,1,2
rum,1,1,2
ruined,1,1,2
rubbish,1,1,2
promise,1,1,2
pill,1,1,2
personal,1,1,2
pardon,1,1,2
office,1,1,2
nights,1,1,2
modern,1,1,2
missing,1,1,2
loved,1,1,2
lock,1,1,2
lives,1,1,2
learn,1,1,2
language,1,1,2
knowing,1,1,2
keeps,1,1,2
interviewed,1,1,2
honor,1,1,2
high,1,1,2
heh,1,1,2
heard,1,1,2
hat,1,1,2
hasnt,1,1,2
hang,1,1,2
half,1,1,2
hadnt,1,1,2
goes,1,1,2
gathering,1,1,2
friend,1,1,2
fit,1,1,2
finished,1,1,2
fighting,1,1,2
fight,1,1,2
female,1,1,2
fat,1,1,2
exposed,1,1,2
explanation,1,1,2
everythings,1,1,2
everybodys,1,1,2
empire,1,1,2
eaten,1,1,2
dishes,1,1,2
cut,1,1,2
congratulations,1,1,2
comes,1,1,2
club,1,1,2
church,1,1,2
child,1,1,2
chance,1,1,2
ceiling,1,1,2
catch,1,1,2
calm,1,1,2
busy,1,1,2
build,1,1,2
broken,1,1,2
brandy,1,1,2
borrow,1,1,2
bodies,1,1,2
black,1,1,2
bedroom,1,1,2
beautifully,1,1,2
amazing,1,1,2
affection,1,1,2
daryl,20,0,20
alex,20,0,20
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
pain,8,0,8
bought,8,0,8
van,7,0,7
walter,6,0,6
open,6,0,6
husband,6,0,6
horne,6,0,6
hi,6,0,6
cream,6,0,6
sick,5,0,5
pregnant,5,0,5
mistakes,5,0,5
lunch,5,0,5
lenox,5,0,5
kids,5,0,5
ice,5,0,5
having,5,0,5
fuck,5,0,5
eat,5,0,5
eastwick,5,0,5
whores,4,0,4
week,4,0,4
um,4,0,4
thinking,4,0,4
sweetheart,4,0,4
sugar,4,0,4
starts,4,0,4
small,4,0,4
precision,4,0,4
passion,4,0,4
nobodys,4,0,4
makes,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
honey,4,0,4
happens,4,0,4
friends,4,0,4
fidel,4,0,4
divorce,4,0,4
disintegrating,4,0,4
devil,4,0,4
chocolate,4,0,4
birds,4,0,4
bed,4,0,4
appreciate,4,0,4
answer,4,0,4
york,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shit,3,0,3
selling,3,0,3
prissy,3,0,3
prince,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
number,3,0,3
newspaper,3,0,3
news,3,0,3
nature,3,0,3
mrs,3,0,3
local,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
huge,3,0,3
hardships,3,0,3
happening,3,0,3
handsome,3,0,3
foreign,3,0,3
fish,3,0,3
feed,3,0,3
fault,3,0,3
fabulous,3,0,3
drugs,3,0,3
double,3,0,3
disappear,3,0,3
daylight,3,0,3
crazy,3,0,3
crawl,3,0,3
christ,3,0,3
cherry,3,0,3
broad,3,0,3
braved,3,0,3
brains,3,0,3
bone,3,0,3
bond,3,0,3
bitch,3,0,3
alexandra,3,0,3
word,2,0,2
wilderness,2,0,2
waves,2,0,2
wasted,2,0,2
warn,2,0,2
visions,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
truth,2,0,2
traveling,2,0,2
thursday,2,0,2
thumb,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
surprise,2,0,2
supposed,2,0,2
superior,2,0,2
strong,2,0,2
store,2,0,2
started,2,0,2
son,2,0,2
snakes,2,0,2
size,2,0,2
single,2,0,2
shirts,2,0,2
seven,2,0,2
settle,2,0,2
selfish,2,0,2
seduce,2,0,2
sea,2,0,2
schylers,2,0,2
scares,2,0,2
scale,2,0,2
reporting,2,0,2
rape,2,0,2
putting,2,0,2
prefer,2,0,2
practice,2,0,2
powerful,2,0,2
potent,2,0,2
playing,2,0,2
pistachio,2,0,2
pissing,2,0,2
pieces,2,0,2
pie,2,0,2
phrases,2,0,2
pass,2,0,2
oversimplifying,2,0,2
overreact,2,0,2
outcries,2,0,2
opinion,2,0,2
ones,2,0,2
normal,2,0,2
neff,2,0,2
morality,2,0,2
missed,2,0,2
million,2,0,2
midwives,2,0,2
marrow,2,0,2
male,2,0,2
macrame,2,0,2
ls,2,0,2
lord,2,0,2
limit,2,0,2
leg,2,0,2
landmark,2,0,2
kidding,2,0,2
jesus,2,0,2
intonation,2,0,2
imagine,2,0,2
hundreds,2,0,2
horse,2,0,2
history,2,0,2
grow,2,0,2
goodness,2,0,2
goo,2,0,2
garden,2,0,2
fruit,2,0,2
forgot,2,0,2
flow,2,0,2
fingers,2,0,2
feet,2,0,2
families,2,0,2
failure,2,0,2
exercise,2,0,2
especially,2,0,2
egrets,2,0,2
dumb,2,0,2
dirt,2,0,2
direct,2,0,2
diddle,2,0,2
dicks,2,0,2
deserted,2,0,2
deep,2,0,2
deal,2,0,2
david,2,0,2
daddy,2,0,2
coochie,2,0,2
consciousness,2,0,2
column,2,0,2
clich,2,0,2
change,2,0,2
carol,2,0,2
bravis,2,0,2
brava,2,0,2
brain,2,0,2
bowing,2,0,2
bother,2,0,2
boring,2,0,2
birthday,2,0,2
bigger,2,0,2
bends,2,0,2
ballroom,2,0,2
bagels,2,0,2
attention,2,0,2
ass,2,0,2
asked,2,0,2
america,2,0,2
afternoon,2,0,2
actually,2,0,2
zucchini,1,0,1
yoo,1,0,1
wrote,1,0,1
writer,1,0,1
worst,1,0,1
worlds,1,0,1
works,1,0,1
wishing,1,0,1
whoo,1,0,1
wetlands,1,0,1
wet,1,0,1
werent,1,0,1
weird,1,0,1
weeks,1,0,1
waste,1,0,1
washes,1,0,1
wars,1,0,1
wanting,1,0,1
vulgar,1,0,1
vodka,1,0,1
vibrato,1,0,1
vessels,1,0,1
vegetable,1,0,1
vaccine,1,0,1
using,1,0,1
untrue,1,0,1
unreal,1,0,1
ungrateful,1,0,1
unfaithful,1,0,1
unfair,1,0,1
unattractive,1,0,1
twit,1,0,1
twisted,1,0,1
twenty,1,0,1
turpitude,1,0,1
trough,1,0,1
trivial,1,0,1
trip,1,0,1
track,1,0,1
toxic,1,0,1
tourist,1,0,1
torn,1,0,1
toothbrush,1,0,1
tooth,1,0,1
tongue,1,0,1
toes,1,0,1
tired,1,0,1
tip,1,0,1
tighten,1,0,1
tidal,1,0,1
thursdays,1,0,1
thumbs,1,0,1
throwing,1,0,1
thoughts,1,0,1
th,1,0,1
test,1,0,1
terrific,1,0,1
teach,1,0,1
tara,1,0,1
tapes,1,0,1
taken,1,0,1
systems,1,0,1
sympathy,1,0,1
swine,1,0,1
swear,1,0,1
supernatural,1,0,1
suing,1,0,1
suffocates,1,0,1
sued,1,0,1
sucks,1,0,1
sublime,1,0,1
study,1,0,1
students,1,0,1
strung,1,0,1
strove,1,0,1
stretch,1,0,1
strangest,1,0,1
stranger,1,0,1
stood,1,0,1
stimulating,1,0,1
spine,1,0,1
spiccato,1,0,1
spend,1,0,1
spanish,1,0,1
spacious,1,0,1
source,1,0,1
sounds,1,0,1
sounded,1,0,1
sons,1,0,1
sold,1,0,1
socks,1,0,1
society,1,0,1
snap,1,0,1
slut,1,0,1
slowed,1,0,1
skies,1,0,1
sixteenth,1,0,1
singles,1,0,1
sideways,1,0,1
shout,1,0,1
shopping,1,0,1
shining,1,0,1
shelves,1,0,1
shamelessness,1,0,1
serves,1,0,1
serpent,1,0,1
separation,1,0,1
senior,1,0,1
sending,1,0,1
sell,1,0,1
selectwoman,1,0,1
selectperson,1,0,1
selectman,1,0,1
sees,1,0,1
seduction,1,0,1
seducing,1,0,1
season,1,0,1
sculptress,1,0,1
screwed,1,0,1
science,1,0,1
school,1,0,1
schlong,1,0,1
scene,1,0,1
sanctimonious,1,0,1
sam,1,0,1
rocks,1,0,1
riveting,1,0,1
riveted,1,0,1
ripe,1,0,1
ridgemont,1,0,1
retarded,1,0,1
respect,1,0,1
repulsive,1,0,1
reprehensible,1,0,1
renovation,1,0,1
relaxing,1,0,1
recommend,1,0,1
rebirth,1,0,1
reason,1,0,1
realtors,1,0,1
reading,1,0,1
rattle,1,0,1
rational,1,0,1
raining,1,0,1
rained,1,0,1
rag,1,0,1
quilting,1,0,1
question,1,0,1
pussy,1,0,1
pushups,1,0,1
purposes,1,0,1
purpose,1,0,1
purple,1,0,1
pudenda,1,0,1
psychoanalysis,1,0,1
propagate,1,0,1
prominent,1,0,1
professional,1,0,1
profession,1,0,1
pretending,1,0,1
pretend,1,0,1
pressure,1,0,1
prescotts,1,0,1
prepared,1,0,1
praying,1,0,1
prayers,1,0,1
pouring,1,0,1
pound,1,0,1
potholders,1,0,1
positive,1,0,1
position,1,0,1
pornography,1,0,1
pools,1,0,1
pool,1,0,1
polite,1,0,1
pocus,1,0,1
plumbing,1,0,1
plain,1,0,1
pissed,1,0,1
pinches,1,0,1
pills,1,0,1
piece,1,0,1
piano,1,0,1
physically,1,0,1
perversions,1,0,1
personality,1,0,1
perfume,1,0,1
perfectly,1,0,1
percentages,1,0,1
penis,1,0,1
peasy,1,0,1
pearls,1,0,1
pea,1,0,1
pathetic,1,0,1
past,1,0,1
passed,1,0,1
paranoid,1,0,1
paradise,1,0,1
ozzies,1,0,1
owned,1,0,1
ow,1,0,1
outrageous,1,0,1
ounce,1,0,1
orientals,1,0,1
nuts,1,0,1
nurse,1,0,1
nuclear,1,0,1
note,1,0,1
nose,1,0,1
noise,1,0,1
nest,1,0,1
neighbor,1,0,1
needlepoint,1,0,1
nazi,1,0,1
naked,1,0,1
moving,1,0,1
mouth,1,0,1
mountains,1,0,1
mountain,1,0,1
mount,1,0,1
mothers,1,0,1
motherhood,1,0,1
morn,1,0,1
mores,1,0,1
morally,1,0,1
mookie,1,0,1
monty,1,0,1
months,1,0,1
mom,1,0,1
misery,1,0,1
miserable,1,0,1
minor,1,0,1
millions,1,0,1
milk,1,0,1
medieval,1,0,1
medical,1,0,1
medford,1,0,1
meant,1,0,1
matters,1,0,1
masculine,1,0,1
martooni,1,0,1
marcato,1,0,1
major,1,0,1
majesties,1,0,1
magazines,1,0,1
mad,1,0,1
lying,1,0,1
luxury,1,0,1
lump,1,0,1
lousy,1,0,1
losing,1,0,1
loose,1,0,1
loathsome,1,0,1
ll,1,0,1
limp,1,0,1
liked,1,0,1
lie,1,0,1
liar,1,0,1
letterman,1,0,1
lenoxes,1,0,1
legato,1,0,1
lech,1,0,1
leaves,1,0,1
leader,1,0,1
laundry,1,0,1
laugh,1,0,1
labored,1,0,1
killer,1,0,1
kill,1,0,1
key,1,0,1
kept,1,0,1
junkie,1,0,1
juice,1,0,1
join,1,0,1
invited,1,0,1
invent,1,0,1
intimate,1,0,1
interviews,1,0,1
intercourse,1,0,1
intelligence,1,0,1
intellectually,1,0,1
insult,1,0,1
instrument,1,0,1
insensitive,1,0,1
initial,1,0,1
individuals,1,0,1
independence,1,0,1
increase,1,0,1
inconvenient,1,0,1
incest,1,0,1
immune,1,0,1
image,1,0,1
hysterical,1,0,1
hurting,1,0,1
humor,1,0,1
humble,1,0,1
housework,1,0,1
household,1,0,1
housecleaning,1,0,1
horny,1,0,1
horns,1,0,1
hoo,1,0,1
homework,1,0,1
homes,1,0,1
holocaust,1,0,1
hole,1,0,1
holds,1,0,1
holding,1,0,1
hocus,1,0,1
ho,1,0,1
hiding,1,0,1
herbie,1,0,1
hemorrhaging,1,0,1
held,1,0,1
heartburn,1,0,1
healthy,1,0,1
health,1,0,1
heads,1,0,1
hazards,1,0,1
hardship,1,0,1
hanging,1,0,1
hands,1,0,1
handles,1,0,1
guys,1,0,1
gravlax,1,0,1
gratitude,1,0,1
granted,1,0,1
grain,1,0,1
grace,1,0,1
grabbing,1,0,1
gossip,1,0,1
gorgeous,1,0,1
goodbye,1,0,1
golly,1,0,1
goddamn,1,0,1
genius,1,0,1
genetic,1,0,1
game,1,0,1
gallery,1,0,1
futility,1,0,1
fun,1,0,1
fucking,1,0,1
fruited,1,0,1
fridge,1,0,1
freezing,1,0,1
freezers,1,0,1
foundation,1,0,1
fought,1,0,1
forty,1,0,1
forgetting,1,0,1
forbearers,1,0,1
flowers,1,0,1
floods,1,0,1
flies,1,0,1
fled,1,0,1
flavor,1,0,1
firing,1,0,1
final,1,0,1
filth,1,0,1
filled,1,0,1
fill,1,0,1
fidels,1,0,1
fertile,1,0,1
females,1,0,1
fed,1,0,1
fear,1,0,1
favorites,1,0,1
favorite,1,0,1
fashionable,1,0,1
far,1,0,1
faith,1,0,1
exploiting,1,0,1
exchange,1,0,1
example,1,0,1
estate,1,0,1
entertained,1,0,1
endured,1,0,1
endurance,1,0,1
ending,1,0,1
employ,1,0,1
embodied,1,0,1
embarrassed,1,0,1
elijah,1,0,1
egret,1,0,1
effect,1,0,1
educated,1,0,1
eating,1,0,1
easily,1,0,1
earthquakes,1,0,1
dyke,1,0,1
duh,1,0,1
dtach,1,0,1
ds,1,0,1
dry,1,0,1
drinks,1,0,1
drinking,1,0,1
drawn,1,0,1
drake,1,0,1
drain,1,0,1
dominated,1,0,1
domestic,1,0,1
dolls,1,0,1
doll,1,0,1
doberman,1,0,1
disappearing,1,0,1
directness,1,0,1
dinner,1,0,1
dildos,1,0,1
dignity,1,0,1
dies,1,0,1
died,1,0,1
dick,1,0,1
diabolical,1,0,1
devouring,1,0,1
detail,1,0,1
destroy,1,0,1
desire,1,0,1
deserved,1,0,1
deserve,1,0,1
desertion,1,0,1
department,1,0,1
demonstrated,1,0,1
definitely,1,0,1
defend,1,0,1
deck,1,0,1
deaths,1,0,1
death,1,0,1
dealing,1,0,1
deaf,1,0,1
darren,1,0,1
danger,1,0,1
damn,1,0,1
daily,1,0,1
cute,1,0,1
cure,1,0,1
cup,1,0,1
culinary,1,0,1
crown,1,0,1
creatures,1,0,1
creature,1,0,1
created,1,0,1
crawling,1,0,1
craving,1,0,1
crap,1,0,1
count,1,0,1
cooking,1,0,1
coo,1,0,1
conversation,1,0,1
constitution,1,0,1
confronted,1,0,1
complains,1,0,1
compared,1,0,1
common,1,0,1
comforting,1,0,1
colonies,1,0,1
cola,1,0,1
coincidence,1,0,1
coffee,1,0,1
cocksuckers,1,0,1
coca,1,0,1
clothed,1,0,1
clean,1,0,1
citizens,1,0,1
christs,1,0,1
chip,1,0,1
chinese,1,0,1
cheeseburger,1,0,1
cheap,1,0,1
chasing,1,0,1
charming,1,0,1
characteristic,1,0,1
chaos,1,0,1
century,1,0,1
cavorting,1,0,1
cards,1,0,1
cancellations,1,0,1
calories,1,0,1
callus,1,0,1
calling,1,0,1
buying,1,0,1
bump,1,0,1
brotherhood,1,0,1
broke,1,0,1
brings,1,0,1
breathe,1,0,1
breath,1,0,1
breaks,1,0,1
breaking,1,0,1
breaked,1,0,1
bread,1,0,1
bra,1,0,1
bottom,1,0,1
borgias,1,0,1
booby,1,0,1
blushed,1,0,1
blossoms,1,0,1
blooms,1,0,1
bloodstream,1,0,1
blind,1,0,1
blessings,1,0,1
bleed,1,0,1
bits,1,0,1
bitches,1,0,1
births,1,0,1
birthing,1,0,1
birth,1,0,1
bermuda,1,0,1
beings,1,0,1
behavior,1,0,1
beds,1,0,1
bear,1,0,1
banging,1,0,1
balls,1,0,1
baby,1,0,1
average,1,0,1
attack,1,0,1
asunder,1,0,1
asleep,1,0,1
artist,1,0,1
article,1,0,1
appetite,1,0,1
appeared,1,0,1
apparently,1,0,1
aphrodisiac,1,0,1
apartheid,1,0,1
anytime,1,0,1
animals,1,0,1
anal,1,0,1
amber,1,0,1
alzheimers,1,0,1
altered,1,0,1
allegro,1,0,1
alden,1,0,1
alcohol,1,0,1
alarmed,1,0,1
ahem,1,0,1
afford,1,0,1
afflicted,1,0,1
affects,1,0,1
aesthetically,1,0,1
adore,1,0,1
admire,1,0,1
added,1,0,1
act,1,0,1
acid,1,0,1
accept,1,0,1
absolutely,1,0,1
abiding,1,0,1
aah,1,0,1
daryl,0,20,20
alex,0,20,20
jane,0,15,15
clyde,0,15,15
felicia,0,14,14
sukie,0,13,13
pain,0,8,8
bought,0,8,8
van,0,7,7
walter,0,6,6
open,0,6,6
husband,0,6,6
horne,0,6,6
hi,0,6,6
cream,0,6,6
sick,0,5,5
pregnant,0,5,5
mistakes,0,5,5
lunch,0,5,5
lenox,0,5,5
kids,0,5,5
ice,0,5,5
having,0,5,5
fuck,0,5,5
eat,0,5,5
eastwick,0,5,5
whores,0,4,4
week,0,4,4
um,0,4,4
thinking,0,4,4
sweetheart,0,4,4
sugar,0,4,4
starts,0,4,4
small,0,4,4
precision,0,4,4
passion,0,4,4
nobodys,0,4,4
makes,0,4,4
liberty,0,4,4
interview,0,4,4
interesting,0,4,4
honey,0,4,4
happens,0,4,4
friends,0,4,4
fidel,0,4,4
divorce,0,4,4
disintegrating,0,4,4
devil,0,4,4
chocolate,0,4,4
birds,0,4,4
bed,0,4,4
appreciate,0,4,4
answer,0,4,4
york,0,3,3
wash,0,3,3
upset,0,3,3
uhn,0,3,3
spofford,0,3,3
snowy,0,3,3
six,0,3,3
shit,0,3,3
selling,0,3,3
prissy,0,3,3
prince,0,3,3
pianos,0,3,3
peculiar,0,3,3
peanut,0,3,3
number,0,3,3
newspaper,0,3,3
news,0,3,3
nature,0,3,3
mrs,0,3,3
local,0,3,3
kid,0,3,3
jelly,0,3,3
janey,0,3,3
huge,0,3,3
hardships,0,3,3
happening,0,3,3
handsome,0,3,3
foreign,0,3,3
fish,0,3,3
feed,0,3,3
fault,0,3,3
fabulous,0,3,3
drugs,0,3,3
double,0,3,3
disappear,0,3,3
daylight,0,3,3
crazy,0,3,3
crawl,0,3,3
christ,0,3,3
cherry,0,3,3
broad,0,3,3
braved,0,3,3
brains,0,3,3
bone,0,3,3
bond,0,3,3
bitch,0,3,3
alexandra,0,3,3
word,0,2,2
wilderness,0,2,2
waves,0,2,2
wasted,0,2,2
warn,0,2,2
visions,0,2,2
vice,0,2,2
vast,0,2,2
values,0,2,2
unloads,0,2,2
uncontrollable,0,2,2
truth,0,2,2
traveling,0,2,2
thursday,0,2,2
thumb,0,2,2
tennis,0,2,2
tamed,0,2,2
tall,0,2,2
talked,0,2,2
surprise,0,2,2
supposed,0,2,2
superior,0,2,2
strong,0,2,2
store,0,2,2
started,0,2,2
son,0,2,2
snakes,0,2,2
size,0,2,2
single,0,2,2
shirts,0,2,2
seven,0,2,2
settle,0,2,2
selfish,0,2,2
seduce,0,2,2
sea,0,2,2
schylers,0,2,2
scares,0,2,2
scale,0,2,2
reporting,0,2,2
rape,0,2,2
putting,0,2,2
prefer,0,2,2
practice,0,2,2
powerful,0,2,2
potent,0,2,2
playing,0,2,2
pistachio,0,2,2
pissing,0,2,2
pieces,0,2,2
pie,0,2,2
phrases,0,2,2
pass,0,2,2
oversimplifying,0,2,2
overreact,0,2,2
outcries,0,2,2
opinion,0,2,2
ones,0,2,2
normal,0,2,2
neff,0,2,2
morality,0,2,2
missed,0,2,2
million,0,2,2
midwives,0,2,2
marrow,0,2,2
male,0,2,2
macrame,0,2,2
ls,0,2,2
lord,0,2,2
limit,0,2,2
leg,0,2,2
landmark,0,2,2
kidding,0,2,2
jesus,0,2,2
intonation,0,2,2
imagine,0,2,2
hundreds,0,2,2
horse,0,2,2
history,0,2,2
grow,0,2,2
goodness,0,2,2
goo,0,2,2
garden,0,2,2
fruit,0,2,2
forgot,0,2,2
flow,0,2,2
fingers,0,2,2
feet,0,2,2
families,0,2,2
failure,0,2,2
exercise,0,2,2
especially,0,2,2
egrets,0,2,2
dumb,0,2,2
dirt,0,2,2
direct,0,2,2
diddle,0,2,2
dicks,0,2,2
deserted,0,2,2
deep,0,2,2
deal,0,2,2
david,0,2,2
daddy,0,2,2
coochie,0,2,2
consciousness,0,2,2
column,0,2,2
clich,0,2,2
change,0,2,2
carol,0,2,2
bravis,0,2,2
brava,0,2,2
brain,0,2,2
bowing,0,2,2
bother,0,2,2
boring,0,2,2
birthday,0,2,2
bigger,0,2,2
bends,0,2,2
ballroom,0,2,2
bagels,0,2,2
attention,0,2,2
ass,0,2,2
asked,0,2,2
america,0,2,2
afternoon,0,2,2
actually,0,2,2
zucchini,0,1,1
yoo,0,1,1
wrote,0,1,1
writer,0,1,1
worst,0,1,1
worlds,0,1,1
works,0,1,1
wishing,0,1,1
whoo,0,1,1
wetlands,0,1,1
wet,0,1,1
werent,0,1,1
weird,0,1,1
weeks,0,1,1
waste,0,1,1
washes,0,1,1
wars,0,1,1
wanting,0,1,1
vulgar,0,1,1
vodka,0,1,1
vibrato,0,1,1
vessels,0,1,1
vegetable,0,1,1
vaccine,0,1,1
using,0,1,1
untrue,0,1,1
unreal,0,1,1
ungrateful,0,1,1
unfaithful,0,1,1
unfair,0,1,1
unattractive,0,1,1
twit,0,1,1
twisted,0,1,1
twenty,0,1,1
turpitude,0,1,1
trough,0,1,1
trivial,0,1,1
trip,0,1,1
track,0,1,1
toxic,0,1,1
tourist,0,1,1
torn,0,1,1
toothbrush,0,1,1
tooth,0,1,1
tongue,0,1,1
toes,0,1,1
tired,0,1,1
tip,0,1,1
tighten,0,1,1
tidal,0,1,1
thursdays,0,1,1
thumbs,0,1,1
throwing,0,1,1
thoughts,0,1,1
