word,Halloweentown,The Wicker Man,total
glory,1,2,3
food,1,2,3
failed,1,2,3
fact,2,1,3
ends,1,2,3
doctor,1,2,3
different,2,1,3
darling,1,2,3
dangerous,2,1,3
couldnt,2,1,3
continue,2,1,3
clear,1,2,3
century,1,2,3
cause,2,1,3
catch,2,1,3
born,2,1,3
begin,1,2,3
bag,2,1,3
asleep,2,1,3
aint,2,1,3
write,1,1,2
worked,1,1,2
woods,1,1,2
win,1,1,2
went,1,1,2
welcome,1,1,2
waste,1,1,2
turning,1,1,2
top,1,1,2
tight,1,1,2
tie,1,1,2
thursday,1,1,2
taste,1,1,2
taking,1,1,2
taken,1,1,2
swear,1,1,2
street,1,1,2
starts,1,1,2
speak,1,1,2
showed,1,1,2
runs,1,1,2
rite,1,1,2
rest,1,1,2
removed,1,1,2
reading,1,1,2
purpose,1,1,2
proper,1,1,2
promise,1,1,2
problems,1,1,2
prefer,1,1,2
possibly,1,1,2
personally,1,1,2
peace,1,1,2
past,1,1,2
overnight,1,1,2
offer,1,1,2
obviously,1,1,2
neighbors,1,1,2
merely,1,1,2
meet,1,1,2
means,1,1,2
masks,1,1,2
making,1,1,2
lunch,1,1,2
learn,1,1,2
knee,1,1,2
kiss,1,1,2
instead,1,1,2
imagination,1,1,2
hungry,1,1,2
huge,1,1,2
hour,1,1,2
horrible,1,1,2
honor,1,1,2
high,1,1,2
heres,1,1,2
heard,1,1,2
growing,1,1,2
grow,1,1,2
giving,1,1,2
generations,1,1,2
frog,1,1,2
forces,1,1,2
flying,1,1,2
fit,1,1,2
explain,1,1,2
exist,1,1,2
escape,1,1,2
enjoy,1,1,2
dreadful,1,1,2
drawing,1,1,2
croaking,1,1,2
cream,1,1,2
characters,1,1,2
certainly,1,1,2
certain,1,1,2
cast,1,1,2
buy,1,1,2
brave,1,1,2
books,1,1,2
blue,1,1,2
bite,1,1,2
bar,1,1,2
aware,1,1,2
awake,1,1,2
apple,1,1,2
animal,1,1,2
grandma,56,0,56
marnie,36,0,36
mom,31,0,31
ooh,25,0,25
yeah,23,0,23
lets,21,0,21
world,20,0,20
sophie,20,0,20
ok,20,0,20
bus,20,0,20
witch,19,0,19
halloween,19,0,19
kids,17,0,17
halloweentown,17,0,17
magic,16,0,16
witches,15,0,15
talisman,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
sighs,12,0,12
gwen,12,0,12
calabar,11,0,11
mortal,10,0,10
huh,10,0,10
whoo,9,0,9
normal,9,0,9
ha,9,0,9
gotta,9,0,9
evil,9,0,9
wow,8,0,8
wait,8,0,8
trying,8,0,8
training,8,0,8
spell,8,0,8
luke,8,0,8
guys,8,0,8
guess,8,0,8
cromwells,8,0,8
weird,7,0,7
powerful,7,0,7
book,7,0,7
aggie,7,0,7
actually,7,0,7
ya,6,0,6
werewolf,6,0,6
vampires,6,0,6
trick,6,0,6
talk,6,0,6
sweat,6,0,6
real,6,0,6
moaning,6,0,6
mayor,6,0,6
hm,6,0,6
hi,6,0,6
guythur,6,0,6
grandmas,6,0,6
fight,6,0,6
creatures,6,0,6
broom,6,0,6
working,5,0,5
totally,5,0,5
special,5,0,5
soon,5,0,5
somebodys,5,0,5
save,5,0,5
presents,5,0,5
party,5,0,5
ow,5,0,5
monsters,5,0,5
minute,5,0,5
leave,5,0,5
knew,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
forever,5,0,5
family,5,0,5
dinner,5,0,5
cool,5,0,5
cookie,5,0,5
careful,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
anyway,5,0,5
works,4,0,4
whoa,4,0,4
wasnt,4,0,4
vu,4,0,4
turned,4,0,4
tried,4,0,4
sweetheart,4,0,4
story,4,0,4
spells,4,0,4
sister,4,0,4
reveal,4,0,4
pretend,4,0,4
number,4,0,4
mommy,4,0,4
laughter,4,0,4
laughing,4,0,4
hoo,4,0,4
guy,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
bell,4,0,4
awesome,4,0,4
anoeth,4,0,4
witchs,3,0,3
whispering,3,0,3
whered,3,0,3
watch,3,0,3
warlock,3,0,3
train,3,0,3
tired,3,0,3
thinking,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
smart,3,0,3
shadow,3,0,3
screeching,3,0,3
screams,3,0,3
run,3,0,3
roots,3,0,3
ringing,3,0,3
reason,3,0,3
probably,3,0,3
plus,3,0,3
panic,3,0,3
neat,3,0,3
movies,3,0,3
mortals,3,0,3
marnies,3,0,3
luck,3,0,3
lot,3,0,3
lit,3,0,3
laughs,3,0,3
kitchen,3,0,3
join,3,0,3
involved,3,0,3
installing,3,0,3
humming,3,0,3
humans,3,0,3
happening,3,0,3
grammy,3,0,3
finally,3,0,3
fellow,3,0,3
feel,3,0,3
fang,3,0,3
eye,3,0,3
especially,3,0,3
dumb,3,0,3
drive,3,0,3
dream,3,0,3
dog,3,0,3
decorations,3,0,3
decided,3,0,3
dad,3,0,3
crowd,3,0,3
crazy,3,0,3
couldve,3,0,3
care,3,0,3
caffeine,3,0,3
button,3,0,3
brother,3,0,3
brew,3,0,3
betty,3,0,3
appreciate,3,0,3
aboard,3,0,3
yay,2,0,2
worst,2,0,2
worlds,2,0,2
wonderful,2,0,2
wiener,2,0,2
whistles,2,0,2
whistle,2,0,2
wall,2,0,2
waiting,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
truth,2,0,2
treating,2,0,2
treat,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
tires,2,0,2
thinks,2,0,2
sweetie,2,0,2
stronger,2,0,2
stopping,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
skeletons,2,0,2
shut,2,0,2
shopping,2,0,2
shop,2,0,2
shoe,2,0,2
shelter,2,0,2
sell,2,0,2
screaming,2,0,2
schedule,2,0,2
running,2,0,2
rumbling,2,0,2
river,2,0,2
ride,2,0,2
recipe,2,0,2
ran,2,0,2
raise,2,0,2
quick,2,0,2
punk,2,0,2
pumpkin,2,0,2
precious,2,0,2
polite,2,0,2
plenty,2,0,2
pins,2,0,2
perfect,2,0,2
overlapping,2,0,2
ornament,2,0,2
nutcase,2,0,2
needs,2,0,2
needles,2,0,2
moving,2,0,2
move,2,0,2
mouth,2,0,2
moms,2,0,2
moment,2,0,2
mistake,2,0,2
met,2,0,2
merlins,2,0,2
lucky,2,0,2
losing,2,0,2
lose,2,0,2
line,2,0,2
lift,2,0,2
leftovers,2,0,2
jobs,2,0,2
iron,2,0,2
install,2,0,2
ingredients,2,0,2
hoping,2,0,2
having,2,0,2
hard,2,0,2
happen,2,0,2
hang,2,0,2
handsome,2,0,2
handle,2,0,2
grunting,2,0,2
grownup,2,0,2
goodness,2,0,2
goblins,2,0,2
future,2,0,2
funny,2,0,2
fun,2,0,2
fighting,2,0,2
ew,2,0,2
em,2,0,2
duh,2,0,2
dude,2,0,2
dressed,2,0,2
drat,2,0,2
downer,2,0,2
distract,2,0,2
disappeared,2,0,2
disappear,2,0,2
destroy,2,0,2
deal,2,0,2
date,2,0,2
darkness,2,0,2
dare,2,0,2
cute,2,0,2
couple,2,0,2
costumes,2,0,2
class,2,0,2
chowder,2,0,2
chicken,2,0,2
cheese,2,0,2
check,2,0,2
chatter,2,0,2
changed,2,0,2
celebrate,2,0,2
calling,2,0,2
called,2,0,2
buying,2,0,2
buster,2,0,2
bunch,2,0,2
bubble,2,0,2
brooms,2,0,2
break,2,0,2
boring,2,0,2
bone,2,0,2
blowing,2,0,2
benny,2,0,2
anymore,2,0,2
altogether,2,0,2
age,2,0,2
agatha,2,0,2
admit,2,0,2
zip,1,0,1
zero,1,0,1
youth,1,0,1
yells,1,0,1
yee,1,0,1
wrap,1,0,1
worried,1,0,1
wor,1,0,1
wondering,1,0,1
wonderfully,1,0,1
wolfies,1,0,1
wolf,1,0,1
wished,1,0,1
winning,1,0,1
winner,1,0,1
windsweeper,1,0,1
williams,1,0,1
wild,1,0,1
wiccan,1,0,1
welsh,1,0,1
weirdo,1,0,1
weeks,1,0,1
wears,1,0,1
wastrel,1,0,1
washed,1,0,1
warts,1,0,1
warlocks,1,0,1
wanna,1,0,1
volunteer,1,0,1
vivida,1,0,1
visits,1,0,1
visit,1,0,1
video,1,0,1
vi,1,0,1
verge,1,0,1
vastly,1,0,1
vanquished,1,0,1
vacation,1,0,1
using,1,0,1
urgent,1,0,1
urban,1,0,1
upstairs,1,0,1
upsetting,1,0,1
upset,1,0,1
upitidas,1,0,1
unless,1,0,1
unibody,1,0,1
unfair,1,0,1
underworld,1,0,1
underestimate,1,0,1
uncovered,1,0,1
unchecked,1,0,1
ugly,1,0,1
ugliest,1,0,1
ugh,1,0,1
twice,1,0,1
twerp,1,0,1
turns,1,0,1
troubles,1,0,1
troublemakers,1,0,1
trimmings,1,0,1
tricks,1,0,1
treatment,1,0,1
trap,1,0,1
transparent,1,0,1
toxic,1,0,1
touch,1,0,1
tooth,1,0,1
tolling,1,0,1
toil,1,0,1
title,1,0,1
tickets,1,0,1
ticket,1,0,1
threatens,1,0,1
third,1,0,1
thinning,1,0,1
thermostat,1,0,1
theirs,1,0,1
thee,1,0,1
theater,1,0,1
thatll,1,0,1
thatd,1,0,1
terrible,1,0,1
tend,1,0,1
technician,1,0,1
tantrum,1,0,1
taller,1,0,1
talked,1,0,1
tackle,1,0,1
system,1,0,1
swimming,1,0,1
sweeping,1,0,1
sundae,1,0,1
sulfuric,1,0,1
suitcase,1,0,1
suit,1,0,1
suffice,1,0,1
suffer,1,0,1
success,1,0,1
styx,1,0,1
stupid,1,0,1
stuffs,1,0,1
studies,1,0,1
strange,1,0,1
store,1,0,1
stomach,1,0,1
stolen,1,0,1
stir,1,0,1
stinky,1,0,1
sticky,1,0,1
stereotypes,1,0,1
step,1,0,1
static,1,0,1
stars,1,0,1
stare,1,0,1
standing,1,0,1
squishing,1,0,1
squawking,1,0,1
square,1,0,1
springer,1,0,1
spread,1,0,1
spook,1,0,1
split,1,0,1
spirits,1,0,1
spirit,1,0,1
spends,1,0,1
specifically,1,0,1
sounds,1,0,1
sounded,1,0,1
sound,1,0,1
sorts,1,0,1
songs,1,0,1
song,1,0,1
somethings,1,0,1
snowman,1,0,1
snazzier,1,0,1
smelled,1,0,1
smell,1,0,1
smallest,1,0,1
slobbering,1,0,1
slimiest,1,0,1
slams,1,0,1
skinner,1,0,1
sixth,1,0,1
sisters,1,0,1
signs,1,0,1
shrub,1,0,1
shrimp,1,0,1
shows,1,0,1
showing,1,0,1
shot,1,0,1
short,1,0,1
shelves,1,0,1
shed,1,0,1
settled,1,0,1
settle,1,0,1
sesame,1,0,1
seriously,1,0,1
separate,1,0,1
secret,1,0,1
second,1,0,1
scratch,1,0,1
scheduling,1,0,1
scary,1,0,1
scare,1,0,1
savory,1,0,1
saving,1,0,1
sand,1,0,1
sance,1,0,1
salad,1,0,1
sake,1,0,1
safe,1,0,1
sadie,1,0,1
rush,1,0,1
ruler,1,0,1
ruled,1,0,1
rule,1,0,1
rooms,1,0,1
risks,1,0,1
rightfully,1,0,1
rhyme,1,0,1
respect,1,0,1
residents,1,0,1
resemblance,1,0,1
replacement,1,0,1
repelle,1,0,1
removes,1,0,1
remembering,1,0,1
recruit,1,0,1
reclaim,1,0,1
reasons,1,0,1
razor,1,0,1
raunchiest,1,0,1
radio,1,0,1
rad,1,0,1
quod,1,0,1
quarter,1,0,1
pushed,1,0,1
purple,1,0,1
pumpkins,1,0,1
pta,1,0,1
proves,1,0,1
proud,1,0,1
protecting,1,0,1
protect,1,0,1
properly,1,0,1
professionals,1,0,1
problem,1,0,1
prince,1,0,1
pretending,1,0,1
prepare,1,0,1
precisely,1,0,1
practice,1,0,1
practically,1,0,1
pouring,1,0,1
potato,1,0,1
point,1,0,1
playing,1,0,1
plastic,1,0,1
plans,1,0,1
pitched,1,0,1
pimple,1,0,1
picked,1,0,1
pick,1,0,1
person,1,0,1
period,1,0,1
pentagram,1,0,1
pat,1,0,1
passed,1,0,1
passage,1,0,1
pardon,1,0,1
panting,1,0,1
palm,1,0,1
pain,1,0,1
overrated,1,0,1
original,1,0,1
omelets,1,0,1
odor,1,0,1
odds,1,0,1
occur,1,0,1
obvious,1,0,1
obsessed,1,0,1
notebook,1,0,1
nose,1,0,1
nos,1,0,1
nights,1,0,1
nicest,1,0,1
nicely,1,0,1
neighbor,1,0,1
needed,1,0,1
natures,1,0,1
nameless,1,0,1
nada,1,0,1
nachos,1,0,1
myth,1,0,1
mysterious,1,0,1
musty,1,0,1
mushroom,1,0,1
museum,1,0,1
muffled,1,0,1
muffin,1,0,1
movie,1,0,1
moved,1,0,1
motorcycle,1,0,1
moose,1,0,1
mood,1,0,1
monster,1,0,1
monkeys,1,0,1
mold,1,0,1
models,1,0,1
mode,1,0,1
mocking,1,0,1
mix,1,0,1
mistaken,1,0,1
missed,1,0,1
miserable,1,0,1
mirage,1,0,1
minivans,1,0,1
minimart,1,0,1
mile,1,0,1
microchip,1,0,1
metallic,1,0,1
merlin,1,0,1
men,1,0,1
meetings,1,0,1
mayors,1,0,1
math,1,0,1
match,1,0,1
mask,1,0,1
marrying,1,0,1
marry,1,0,1
marlie,1,0,1
mark,1,0,1
magical,1,0,1
loud,1,0,1
loss,1,0,1
lon,1,0,1
lollypop,1,0,1
loki,1,0,1
logic,1,0,1
lodge,1,0,1
locked,1,0,1
lives,1,0,1
liver,1,0,1
listening,1,0,1
lincoln,1,0,1
limp,1,0,1
likes,1,0,1
lights,1,0,1
legal,1,0,1
leftover,1,0,1
leaving,1,0,1
leaves,1,0,1
league,1,0,1
lady,1,0,1
la,1,0,1
knows,1,0,1
kinds,1,0,1
killing,1,0,1
kiddin,1,0,1
judge,1,0,1
jubentis,1,0,1
joins,1,0,1
joe,1,0,1
jerry,1,0,1
jerk,1,0,1
jaded,1,0,1
instant,1,0,1
insanity,1,0,1
influence,1,0,1
impressionable,1,0,1
impossible,1,0,1
impetit,1,0,1
immune,1,0,1
imitation,1,0,1
imitated,1,0,1
ideas,1,0,1
ice,1,0,1
hypnotized,1,0,1
hum,1,0,1
hubble,1,0,1
hows,1,0,1
howls,1,0,1
howdy,1,0,1
hot,1,0,1
honey,1,0,1
homes,1,0,1
holiday,1,0,1
hit,1,0,1
hips,1,0,1
hints,1,0,1
hinges,1,0,1
hieroglyphics,1,0,1
hiding,1,0,1
hide,1,0,1
hid,1,0,1
hereditary,1,0,1
herb,1,0,1
helps,1,0,1
hell,1,0,1
hed,1,0,1
heads,1,0,1
headless,1,0,1
headache,1,0,1
haunts,1,0,1
hateful,1,0,1
hanging,1,0,1
handful,1,0,1
handed,1,0,1
hallucinating,1,0,1
hairstyling,1,0,1
hades,1,0,1
gwens,1,0,1
gwendolyn,1,0,1
guts,1,0,1
gunther,1,0,1
gum,1,0,1
guggenheim,1,0,1
grunts,1,0,1
grown,1,0,1
grounded,1,0,1
groaning,1,0,1
grip,1,0,1
graveyards,1,0,1
grandmothers,1,0,1
grandmother,1,0,1
grandkids,1,0,1
goose,1,0,1
goodbye,1,0,1
goin,1,0,1
gnomes,1,0,1
gnome,1,0,1
glo,1,0,1
glad,1,0,1
gives,1,0,1
gets,1,0,1
gave,1,0,1
gasps,1,0,1
gang,1,0,1
gander,1,0,1
gah,1,0,1
fungus,1,0,1
fumes,1,0,1
frustrating,1,0,1
frozen,1,0,1
front,1,0,1
frightening,1,0,1
freezes,1,0,1
freak,1,0,1
frankenstein,1,0,1
formula,1,0,1
forgotten,1,0,1
forgot,1,0,1
forced,1,0,1
foolish,1,0,1
fooled,1,0,1
follows,1,0,1
followed,1,0,1
folks,1,0,1
fly,1,0,1
flowers,1,0,1
flights,1,0,1
fitness,1,0,1
fish,1,0,1
finishing,1,0,1
finish,1,0,1
fingertips,1,0,1
finds,1,0,1
filet,1,0,1
figure,1,0,1
field,1,0,1
fetch,1,0,1
felt,1,0,1
fell,1,0,1
feelings,1,0,1
feeling,1,0,1
feared,1,0,1
fast,1,0,1
fare,1,0,1
fall,1,0,1
fairy,1,0,1
faces,1,0,1
fabulous,1,0,1
eyeballs,1,0,1
extra,1,0,1
explore,1,0,1
expert,1,0,1
expected,1,0,1
exotic,1,0,1
exiled,1,0,1
exile,1,0,1
excuses,1,0,1
exciting,1,0,1
excited,1,0,1
excellent,1,0,1
everyones,1,0,1
everybodys,1,0,1
eureka,1,0,1
espresso,1,0,1
english,1,0,1
engine,1,0,1
energy,1,0,1
energies,1,0,1
encyclopedia,1,0,1
encouragement,1,0,1
emergency,1,0,1
electricity,1,0,1
election,1,0,1
egyptian,1,0,1
eggs,1,0,1
educational,1,0,1
eating,1,0,1
earlier,1,0,1
ear,1,0,1
dying,1,0,1
dybbuks,1,0,1
dryers,1,0,1
dropping,1,0,1
drop,1,0,1
drives,1,0,1
driver,1,0,1
drinking,1,0,1
dress,1,0,1
dragonfly,1,0,1
dozens,1,0,1
dow,1,0,1
doorknob,1,0,1
dollars,1,0,1
dogs,1,0,1
documentary,1,0,1
doc,1,0,1
district,1,0,1
distance,1,0,1
disobey,1,0,1
disneylands,1,0,1
disease,1,0,1
discussion,1,0,1
discovered,1,0,1
directional,1,0,1
differently,1,0,1
dictu,1,0,1
details,1,0,1
detailing,1,0,1
destiny,1,0,1
depressed,1,0,1
demon,1,0,1
deluxe,1,0,1
delayed,1,0,1
degrees,1,0,1
degree,1,0,1
defies,1,0,1
decide,1,0,1
dears,1,0,1
dawn,1,0,1
dated,1,0,1
dank,1,0,1
daddy,1,0,1
curb,1,0,1
cupidinis,1,0,1
cs,1,0,1
cruise,1,0,1
cross,1,0,1
cromwwell,1,0,1
crispy,1,0,1
create,1,0,1
creaking,1,0,1
crashing,1,0,1
coven,1,0,1
count,1,0,1
copied,1,0,1
cookin,1,0,1
cookbook,1,0,1
cook,1,0,1
controlled,1,0,1
continues,1,0,1
contest,1,0,1
construction,1,0,1
conserve,1,0,1
consequences,1,0,1
conquering,1,0,1
conquer,1,0,1
confess,1,0,1
concentrate,1,0,1
completion,1,0,1
completely,1,0,1
compared,1,0,1
comedian,1,0,1
closing,1,0,1
closed,1,0,1
clock,1,0,1
cleveland,1,0,1
clan,1,0,1
claims,1,0,1
citizens,1,0,1
ciente,1,0,1
chuckles,1,0,1
chrome,1,0,1
chose,1,0,1
choices,1,0,1
chocolate,1,0,1
childhood,1,0,1
chickens,1,0,1
chez,1,0,1
cheering,1,0,1
chattering,1,0,1
charter,1,0,1
character,1,0,1
chaos,1,0,1
chaney,1,0,1
cereal,1,0,1
cellar,1,0,1
cawing,1,0,1
cavities,1,0,1
causes,1,0,1
cauldron,1,0,1
carpet,1,0,1
candle,1,0,1
cackles,1,0,1
cab,1,0,1
busy,1,0,1
buses,1,0,1
bury,1,0,1
burning,1,0,1
bums,1,0,1
bs,1,0,1
brothers,1,0,1
bristles,1,0,1
bringing,1,0,1
bride,1,0,1
breaking,1,0,1
breakfast,1,0,1
brat,1,0,1
boys,1,0,1
boyfriend,1,0,1
box,1,0,1
bowls,1,0,1
bowling,1,0,1
bowl,1,0,1
boss,1,0,1
borealis,1,0,1
boo,1,0,1
bones,1,0,1
bonehead,1,0,1
bogeyman,1,0,1
blade,1,0,1
bitten,1,0,1
birthright,1,0,1
bikinis,1,0,1
benighted,1,0,1
bend,1,0,1
believing,1,0,1
beeping,1,0,1
bedtime,1,0,1
beds,1,0,1
beauty,1,0,1
beating,1,0,1
battle,1,0,1
barking,1,0,1
banshees,1,0,1
baked,1,0,1
badgering,1,0,1
babysitter,1,0,1
awful,1,0,1
aw,1,0,1
available,1,0,1
aurora,1,0,1
audience,1,0,1
assume,1,0,1
arthurs,1,0,1
arthur,1,0,1
arrived,1,0,1
arms,1,0,1
arguing,1,0,1
argh,1,0,1
arbor,1,0,1
appreciates,1,0,1
applause,1,0,1
apologize,1,0,1
annoys,1,0,1
animatronic,1,0,1
ancient,1,0,1
amazing,1,0,1
alive,1,0,1
aleck,1,0,1
ahh,1,0,1
agua,1,0,1
aggies,1,0,1
ages,1,0,1
afterlife,1,0,1
added,1,0,1
acid,1,0,1
absolutely,1,0,1
abracadabra,1,0,1
abominable,1,0,1
grandma,0,56,56
marnie,0,36,36
mom,0,31,31
ooh,0,25,25
yeah,0,23,23
lets,0,21,21
world,0,20,20
sophie,0,20,20
ok,0,20,20
bus,0,20,20
witch,0,19,19
halloween,0,19,19
kids,0,17,17
halloweentown,0,17,17
magic,0,16,16
witches,0,15,15
talisman,0,14,14
powers,0,14,14
dylan,0,14,14
cromwell,0,14,14
sighs,0,12,12
gwen,0,12,12
calabar,0,11,11
mortal,0,10,10
huh,0,10,10
whoo,0,9,9
normal,0,9,9
ha,0,9,9
gotta,0,9,9
evil,0,9,9
wow,0,8,8
wait,0,8,8
trying,0,8,8
training,0,8,8
spell,0,8,8
luke,0,8,8
guys,0,8,8
guess,
aggie,0,7,7
ya,0,6,6
weird,0,7,7
powerful,0,7,7
book,0,7,7
aggie,0,7,7
actually,0,7,7
ya,0,6,6
werewolf,0,6,6
vampires,0,6,6
trick,0,6,6
talk,0,6,6
sweat,0,6,6
real,0,6,6
moaning,0,6,6
mayor,0,6,6
hm,0,6,6
hi,0,6,6
guythur,0,6,6
grandmas,0,6,6
fight,0,6,6
creatures,0,6,6
broom,0,6,6
working,0,5,5
totally,0,5,5
special,0,5,5
soon,0,5,5
somebodys,0,5,5
save,0,5,5
presents,0,5,5
party,0,5,5
ow,0,5,5
monsters,0,5,5
minute,0,5,5
leave,0,5,5
knew,0,5,5
harriet,0,5,5
gugaun,0,5,5
ghosts,0,5,5
forever,0,5,5
family,0,5,5
dinner,0,5,5
cool,0,5,5
cookie,0,5,5
careful,0,5,5
candy,0,5,5
bid,0,5,5
attendant,0,5,5
anyway,0,5,5
works,0,4,4
whoa,0,4,4
wasnt,0,4,4
vu,0,4,4
turned,0,4,4
tried,0,4,4
sweetheart,0,4,4
story,0,4,4
spells,0,4,4
sister,0,4,4
reveal,0,4,4
pretend,0,4,4
number,0,4,4
mommy,0,4,4
laughter,0,4,4
laughing,0,4,4
hoo,0,4,4
guy,0,4,4
dja,0,4,4
cledyfrutm,0,4,4
bell,0,4,4
awesome,0,4,4
anoeth,0,4,4
witchs,0,3,3
whispering,0,3,3
whered,0,3,3
watch,0,3,3
warlock,0,3,3
train,0,3,3
tired,0,3,3
thinking,0,3,3
statues,0,3,3
soph,0,3,3
soapy,0,3,3
smart,0,3,3
shadow,0,3,3
screeching,0,3,3
screams,0,3,3
run,0,3,3
roots,0,3,3
ringing,0,3,3
reason,0,3,3
probably,0,3,3
plus,0,3,3
panic,0,3,3
neat,0,3,3
movies,0,3,3
mortals,0,3,3
marnies,0
grammy,0,3,3
goes,0,3,3
finally,0,
laughs,0,3,3
kitchen,0,3,3
join,0,3,3
involved,0,3,3
