word,The Blair Witch Project,Dark Shadows,total
dead,4,2,6
boy,1,5,6
box,1,5,6
bottom,2,4,6
bit,5,1,6
young,2,3,5
youll,1,4,5
year,1,4,5
wicked,4,1,5
weird,1,4,5
using,2,3,5
um,4,1,5
top,4,1,5
started,1,4,5
saw,2,3,5
remain,2,3,5
quiet,4,1,5
pain,4,1,5
mouth,4,1,5
means,2,3,5
matter,3,2,5
makes,3,2,5
made,3,2,5
line,1,4,5
left,4,1,5
important,4,1,5
hundred,3,2,5
human,2,3,5
hi,2,3,5
hey,4,1,5
havent,4,1,5
hate,2,3,5
hand,4,1,5
full,4,1,5
fight,2,3,5
far,4,1,5
drink,2,3,5
deal,2,3,5
course,1,4,5
children,1,4,5
care,3,2,5
came,3,2,5
best,2,3,5
american,3,2,5
america,4,1,5
actually,3,2,5
wouldnt,2,2,4
wont,1,3,4
witchcraft,2,2,4
whos,2,2,4
trust,2,2,4
times,2,2,4
theyre,2,2,4
taking,3,1,4
taken,1,3,4
suppose,1,3,4
sun,1,3,4
start,2,2,4
standing,3,1,4
smart,3,1,4
shut,3,1,4
short,2,2,4
seven,3,1,4
seconds,2,2,4
second,3,1,4
save,2,2,4
quite,2,2,4
putting,3,1,4
pumpkin,2,2,4
probably,2,2,4
play,2,2,4
lying,2,2,4
kiss,3,1,4
imagine,1,3,4
hurt,3,1,4
hill,2,2,4
high,3,1,4
happening,1,3,4
grow,1,3,4
gone,2,2,4
ghosts,3,1,4
fishing,1,3,4
fact,2,2,4
couple,3,1,4
chance,1,3,4
called,3,1,4
brought,2,2,4
bitch,3,1,4
asleep,2,2,4
anyway,1,3,4
aint,3,1,4
wow,2,1,3
wouldve,1,2,3
watching,1,2,3
twenty,2,1,3
touch,2,1,3
talking,1,2,3
swear,2,1,3
stupid,1,2,3
staring,1,2,3
stand,1,2,3
soon,2,1,3
sit,2,1,3
shouldnt,2,1,3
red,1,2,3
reason,1,2,3
realize,2,1,3
ran,2,1,3
prepared,1,2,3
piece,2,1,3
pick,1,2,3
noises,2,1,3
moment,2,1,3
lived,1,2,3
listen,2,1,3
learn,2,1,3
laid,2,1,3
kept,1,2,3
interesting,1,2,3
hearing,1,2,3
happen,1,2,3
grab,2,1,3
giving,1,2,3
ghost,1,2,3
fun,1,2,3
four,2,1,3
fishermen,1,2,3
finally,2,1,3
fighting,2,1,3
feeling,2,1,3
ends,1,2,3
drop,2,1,3
devil,1,2,3
destroyed,1,2,3
dad,2,1,3
corner,1,2,3
community,2,1,3
child,1,2,3
change,1,2,3
caught,1,2,3
bad,2,1,3
apart,1,2,3
angry,1,2,3
ago,2,1,3
admit,2,1,3
absolutely,2,1,3
wrong,1,1,2
worry,1,1,2
working,1,1,2
wed,1,1,2
twice,1,1,2
truth,1,1,2
track,1,1,2
thinks,1,1,2
thanks,1,1,2
terrified,1,1,2
terrible,1,1,2
teeth,1,1,2
takes,1,1,2
surprised,1,1,2
street,1,1,2
starting,1,1,2
speed,1,1,2
son,1,1,2
smell,1,1,2
slightly,1,1,2
site,1,1,2
sheriff,1,1,2
share,1,1,2
selfish,1,1,2
search,1,1,2
school,1,1,2
roots,1,1,2
roll,1,1,2
return,1,1,2
recall,1,1,2
quick,1,1,2
purpose,1,1,2
pretend,1,1,2
poor,1,1,2
police,1,1,2
persons,1,1,2
person,1,1,2
permission,1,1,2
pass,1,1,2
october,1,1,2
obviously,1,1,2
noise,1,1,2
nine,1,1,2
moving,1,1,2
missing,1,1,2
lots,1,1,2
lie,1,1,2
legends,1,1,2
late,1,1,2
large,1,1,2
joke,1,1,2
job,1,1,2
huh,1,1,2
hmm,1,1,2
heres,1,1,2
halloween,1,1,2
hairs,1,1,2
goes,1,1,2
glass,1,1,2
girlfriend,1,1,2
friend,1,1,2
floor,1,1,2
flesh,1,1,2
final,1,1,2
fifteen,1,1,2
female,1,1,2
familiar,1,1,2
expect,1,1,2
exists,1,1,2
evidence,1,1,2
easier,1,1,2
dry,1,1,2
drinking,1,1,2
doors,1,1,2
door,1,1,2
depth,1,1,2
deep,1,1,2
damned,1,1,2
covered,1,1,2
couldnt,1,1,2
comfort,1,1,2
clothes,1,1,2
clear,1,1,2
certain,1,1,2
burning,1,1,2
bring,1,1,2
bolt,1,1,2
body,1,1,2
black,1,1,2
birthday,1,1,2
asking,1,1,2
arent,1,1,2
ancient,1,1,2
agree,1,1,2
act,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
camera,62,0,62
map,44,0,44
ahead,41,0,41
fuck,39,0,39
tent,33,0,33
fisherman,23,0,23
car,21,0,21
woods,19,0,19
cut,18,0,18
wanna,16,0,16
weve,15,0,15
video,15,0,15
joshs,15,0,15
blair,15,0,15
guys,14,0,14
gotta,14,0,14
whispers,13,0,13
laughs,13,0,13
laughing,13,0,13
sounds,12,0,12
shot,12,0,12
rocks,11,0,11
mm,11,0,11
log,11,0,11
hiking,11,0,11
cool,11,0,11
compass,11,0,11
whats,10,0,10
three,10,0,10
south,10,0,10
sound,10,0,10
slate,10,0,10
mary,10,0,10
dat,10,0,10
cemetery,10,0,10
shooting,9,0,9
pack,9,0,9
cause,9,0,9
camp,9,0,9
walking,8,0,8
seriously,8,0,8
points,8,0,8
mikes,8,0,8
head,8,0,8
fucked,8,0,8
documentary,8,0,8
crying,8,0,8
useless,7,0,7
trail,7,0,7
stairs,7,0,7
near,7,0,7
mumbles,7,0,7
kids,7,0,7
kidding,7,0,7
holding,7,0,7
hands,7,0,7
crossing,7,0,7
crew,7,0,7
creek,7,0,7
close,7,0,7
christ,7,0,7
brown,7,0,7
yesterday,6,0,6
yah,6,0,6
uh,6,0,6
tomorrow,6,0,6
stick,6,0,6
steps,6,0,6
small,6,0,6
project,6,0,6
muffled,6,0,6
middle,6,0,6
laugh,6,0,6
heathers,6,0,6
finger,6,0,6
deer,6,0,6
coffin,6,0,6
bound,6,0,6
wet,5,0,5
walks,5,0,5
view,5,0,5
twigs,5,0,5
turns,5,0,5
supposed,5,0,5
sticks,5,0,5
shots,5,0,5
river,5,0,5
rain,5,0,5
playing,5,0,5
mikey,5,0,5
leaving,5,0,5
gear,5,0,5
games,5,0,5
forth,5,0,5
film,5,0,5
feet,5,0,5
dude,5,0,5
bullshit,5,0,5
beer,5,0,5
bag,5,0,5
area,5,0,5
werent,4,0,4
trying,4,0,4
totally,4,0,4
sobs,4,0,4
sighs,4,0,4
shoot,4,0,4
shhh,4,0,4
serious,4,0,4
scene,4,0,4
running,4,0,4
relax,4,0,4
reading,4,0,4
pocket,4,0,4
piles,4,0,4
pants,4,0,4
packed,4,0,4
meters,4,0,4
lights,4,0,4
knock,4,0,4
kicked,4,0,4
insisted,4,0,4
id,4,0,4
hungry,4,0,4
hike,4,0,4
haunted,4,0,4
ground,4,0,4
gate,4,0,4
filming,4,0,4
fault,4,0,4
end,4,0,4
cry,4,0,4
cries,4,0,4
cracking,4,0,4
continues,4,0,4
cellar,4,0,4
burkittsville,4,0,4
bundle,4,0,4
book,4,0,4
bodies,4,0,4
asshole,4,0,4
writing,3,0,3
whispered,3,0,3
washing,3,0,3
walked,3,0,3
used,3,0,3
tries,3,0,3
telling,3,0,3
supposedly,3,0,3
store,3,0,3
stops,3,0,3
stopped,3,0,3
somebody,3,0,3
slime,3,0,3
sixteen,3,0,3
sir,3,0,3
silence,3,0,3
shirt,3,0,3
shh,3,0,3
shawl,3,0,3
scream,3,0,3
scotch,3,0,3
scary,3,0,3
rustling,3,0,3
reality,3,0,3
pushes,3,0,3
potatoes,3,0,3
pile,3,0,3
picks,3,0,3
panting,3,0,3
packs,3,0,3
opening,3,0,3
nope,3,0,3
movies,3,0,3
move,3,0,3
motivation,3,0,3
moans,3,0,3
mister,3,0,3
michael,3,0,3
mashed,3,0,3
marys,3,0,3
maryland,3,0,3
mans,3,0,3
louder,3,0,3
loosing,3,0,3
loose,3,0,3
learned,3,0,3
leaf,3,0,3
horse,3,0,3
holy,3,0,3
gloves,3,0,3
gasps,3,0,3
fur,3,0,3
funny,3,0,3
footage,3,0,3
fall,3,0,3
excited,3,0,3
ended,3,0,3
ditch,3,0,3
disappeared,3,0,3
diner,3,0,3
defiantly,3,0,3
creepy,3,0,3
confronts,3,0,3
cigarette,3,0,3
chest,3,0,3
campsite,3,0,3
cameras,3,0,3
calm,3,0,3
breaks,3,0,3
bought,3,0,3
bottle,3,0,3
boots,3,0,3
babies,3,0,3
anybody,3,0,3
alive,3,0,3
zooms,2,0,2
yo,2,0,2
yelling,2,0,2
yell,2,0,2
witches,2,0,2
winter,2,0,2
white,2,0,2
whisper,2,0,2
whatd,2,0,2
west,2,0,2
wandered,2,0,2
walls,2,0,2
wall,2,0,2
various,2,0,2
unintelligible,2,0,2
uncool,2,0,2
tonight,2,0,2
throws,2,0,2
thick,2,0,2
taping,2,0,2
table,2,0,2
sudden,2,0,2
streams,2,0,2
straight,2,0,2
statement,2,0,2
starts,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
sorts,2,0,2
smokes,2,0,2
sleep,2,0,2
sky,2,0,2
sings,2,0,2
sing,2,0,2
shows,2,0,2
shoes,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
sets,2,0,2
screwed,2,0,2
screams,2,0,2
scouted,2,0,2
schedule,2,0,2
salad,2,0,2
runs,2,0,2
row,2,0,2
rocking,2,0,2
road,2,0,2
rising,2,0,2
ripkin,2,0,2
rice,2,0,2
redneck,2,0,2
record,2,0,2
rear,2,0,2
reaching,2,0,2
raisin,2,0,2
quickly,2,0,2
punch,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
plan,2,0,2
pie,2,0,2
period,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
notice,2,0,2
nights,2,0,2
naive,2,0,2
myth,2,0,2
mouse,2,0,2
mountain,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
messing,2,0,2
meatball,2,0,2
losing,2,0,2
lens,2,0,2
leaves,2,0,2
laughter,2,0,2
knocked,2,0,2
knees,2,0,2
king,2,0,2
kay,2,0,2
joshes,2,0,2
island,2,0,2
ieee,2,0,2
ice,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
hot,2,0,2
hitting,2,0,2
heavy,2,0,2
harry,2,0,2
hang,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
grows,2,0,2
gray,2,0,2
goddamn,2,0,2
gives,2,0,2
gilligan,2,0,2
gets,2,0,2
gathering,2,0,2
fuckin,2,0,2
front,2,0,2
freaking,2,0,2
footsteps,2,0,2
fool,2,0,2
following,2,0,2
flashlight,2,0,2
fingers,2,0,2
field,2,0,2
felt,2,0,2
feels,2,0,2
fat,2,0,2
fart,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
eerie,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
driving,2,0,2
doubles,2,0,2
disgust,2,0,2
disappearing,2,0,2
direct,2,0,2
danger,2,0,2
cross,2,0,2
cream,2,0,2
crawl,2,0,2
cp,2,0,2
country,2,0,2
compared,2,0,2
comforts,2,0,2
closer,2,0,2
climb,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
cabin,2,0,2
broke,2,0,2
breath,2,0,2
breaking,2,0,2
break,2,0,2
branches,2,0,2
blurry,2,0,2
blows,2,0,2
bloody,2,0,2
bless,2,0,2
blank,2,0,2
bite,2,0,2
bible,2,0,2
betrayed,2,0,2
begin,2,0,2
babbling,2,0,2
awe,2,0,2
asked,2,0,2
arrives,2,0,2
arms,2,0,2
appears,2,0,2
ahh,2,0,2
zoom,1,0,1
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
yawns,1,0,1
yards,1,0,1
writings,1,0,1
write,1,0,1
wright,1,0,1
wrest,1,0,1
worst,1,0,1
worse,1,0,1
wool,1,0,1
wondered,1,0,1
womans,1,0,1
woke,1,0,1
wives,1,0,1
wits,1,0,1
witchll,1,0,1
wish,1,0,1
wine,1,0,1
windshield,1,0,1
windows,1,0,1
wildly,1,0,1
whispering,1,0,1
weight,1,0,1
weeps,1,0,1
weekend,1,0,1
weeds,1,0,1
weed,1,0,1
weaver,1,0,1
weasel,1,0,1
ways,1,0,1
waves,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
wake,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
usually,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
unusual,1,0,1
untie,1,0,1
unsnaged,1,0,1
unknown,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uncomfortable,1,0,1
uhhms,1,0,1
twilights,1,0,1
tv,1,0,1
turning,1,0,1
tumbling,1,0,1
trinkets,1,0,1
trick,1,0,1
trembling,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
touching,1,0,1
touched,1,0,1
total,1,0,1
tossed,1,0,1
toss,1,0,1
torture,1,0,1
torso,1,0,1
torn,1,0,1
tore,1,0,1
toe,1,0,1
toast,1,0,1
till,1,0,1
tightly,1,0,1
thrown,1,0,1
throwing,1,0,1
threatened,1,0,1
thinking,1,0,1
thin,1,0,1
thew,1,0,1
theme,1,0,1
thee,1,0,1
terror,1,0,1
tells,1,0,1
tears,1,0,1
tastes,1,0,1
tapings,1,0,1
tape,1,0,1
tall,1,0,1
tale,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
suns,1,0,1
sunday,1,0,1
stutters,1,0,1
student,1,0,1
stuck,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
structure,1,0,1
strips,1,0,1
strip,1,0,1
string,1,0,1
stress,1,0,1
strap,1,0,1
stories,1,0,1
stone,1,0,1
stirring,1,0,1
stir,1,0,1
step,1,0,1
stench,1,0,1
state,1,0,1
stands,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spite,1,0,1
spirited,1,0,1
spilled,1,0,1
specifically,1,0,1
speaking,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
somthin,1,0,1
someones,1,0,1
solid,1,0,1
soft,1,0,1
sob,1,0,1
smoking,1,0,1
smiles,1,0,1
smallest,1,0,1
slowly,1,0,1
slippery,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
sized,1,0,1
six,1,0,1
situation,1,0,1
sister,1,0,1
sign,1,0,1
sides,1,0,1
shudders,1,0,1
shudder,1,0,1
shrinking,1,0,1
showing,1,0,1
shoves,1,0,1
shoulder,1,0,1
shortcuts,1,0,1
shopping,1,0,1
ship,1,0,1
shhhhh,1,0,1
shanty,1,0,1
shaking,1,0,1
shake,1,0,1
shack,1,0,1
setting,1,0,1
separate,1,0,1
seeing,1,0,1
season,1,0,1
searched,1,0,1
screaming,1,0,1
scratched,1,0,1
scientist,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
satisfied,1,0,1
salt,1,0,1
safety,1,0,1
safe,1,0,1
rushed,1,0,1
ruined,1,0,1
rubs,1,0,1
rounds,1,0,1
rolls,1,0,1
rolling,1,0,1
robin,1,0,1
roasted,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
remove,1,0,1
religious,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
recorded,1,0,1
reaches,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
quit,1,0,1
puts,1,0,1
pure,1,0,1
punctuality,1,0,1
punching,1,0,1
pulls,1,0,1
pull,1,0,1
proud,1,0,1
protruding,1,0,1
properly,1,0,1
profusely,1,0,1
process,1,0,1
problem,1,0,1
preparing,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
pool,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
planning,1,0,1
places,1,0,1
pitch,1,0,1
piss,1,0,1
phew,1,0,1
personally,1,0,1
paw,1,0,1
patterns,1,0,1
patch,1,0,1
passed,1,0,1
party,1,0,1
parts,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
owl,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
older,1,0,1
offence,1,0,1
oclock,1,0,1
occultic,1,0,1
occult,1,0,1
occasion,1,0,1
oatmeal,1,0,1
numerous,1,0,1
number,1,0,1
noticing,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
nods,1,0,1
ninety,1,0,1
nervously,1,0,1
neighbors,1,0,1
necessary,1,0,1
nearby,1,0,1
natural,1,0,1
national,1,0,1
naked,1,0,1
nah,1,0,1
mystified,1,0,1
mustard,1,0,1
mucus,1,0,1
moves,1,0,1
mouths,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
millimeter,1,0,1
mess,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
market,1,0,1
marked,1,0,1
mark,1,0,1
marches,1,0,1
mamma,1,0,1
makeup,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loudly,1,0,1
loud,1,0,1
looms,1,0,1
looked,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
loaded,1,0,1
lit,1,0,1
listening,1,0,1
lipstick,1,0,1
lifts,1,0,1
lift,1,0,1
licking,1,0,1
licked,1,0,1
level,1,0,1
lemme,1,0,1
legs,1,0,1
legend,1,0,1
leans,1,0,1
laying,1,0,1
layers,1,0,1
laughed,1,0,1
laced,1,0,1
keeps,1,0,1
jut,1,0,1
jumps,1,0,1
juice,1,0,1
joy,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
jabbing,1,0,1
intestines,1,0,1
interested,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
image,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hurrying,1,0,1
hurry,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huddling,1,0,1
hows,1,0,1
horror,1,0,1
hoooo,1,0,1
hole,1,0,1
holds,1,0,1
history,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
helping,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
headstones,1,0,1
heads,1,0,1
haunt,1,0,1
hasnt,1,0,1
hardly,1,0,1
harder,1,0,1
hanging,1,0,1
handful,1,0,1
hairy,1,0,1
guy,1,0,1
gutted,1,0,1
grunt,1,0,1
grocery,1,0,1
greek,1,0,1
graves,1,0,1
gravel,1,0,1
grapple,1,0,1
grandmothers,1,0,1
grace,1,0,1
gotten,1,0,1
gory,1,0,1
gore,1,0,1
goddamned,1,0,1
goat,1,0,1
gleaming,1,0,1
glares,1,0,1
gilligans,1,0,1
gigantic,1,0,1
general,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
freezing,1,0,1
free,1,0,1
freaked,1,0,1
forward,1,0,1
forming,1,0,1
formation,1,0,1
forest,1,0,1
forearm,1,0,1
followed,1,0,1
follow,1,0,1
fogged,1,0,1
flight,1,0,1
flashlights,1,0,1
flap,1,0,1
flannel,1,0,1
flames,1,0,1
flails,1,0,1
flag,1,0,1
fixes,1,0,1
fires,1,0,1
finishing,1,0,1
finishes,1,0,1
finished,1,0,1
finely,1,0,1
filtered,1,0,1
filmmakers,1,0,1
filling,1,0,1
filled,1,0,1
figure,1,0,1
fiddling,1,0,1
fends,1,0,1
favorite,1,0,1
fast,1,0,1
families,1,0,1
fallow,1,0,1
fallen,1,0,1
facing,1,0,1
extreme,1,0,1
exhausted,1,0,1
excellent,1,0,1
examine,1,0,1
everybodys,1,0,1
europe,1,0,1
etched,1,0,1
essential,1,0,1
eof,1,0,1
entranced,1,0,1
entrance,1,0,1
entitled,1,0,1
energy,1,0,1
ending,1,0,1
encounter,1,0,1
eighteenth,1,0,1
ehh,1,0,1
eh,1,0,1
edge,1,0,1
eating,1,0,1
eat,1,0,1
ear,1,0,1
eager,1,0,1
due,1,0,1
drops,1,0,1
drives,1,0,1
drive,1,0,1
doorstep,1,0,1
dollars,1,0,1
dissapeard,1,0,1
disheveled,1,0,1
discovery,1,0,1
dirty,1,0,1
directors,1,0,1
directly,1,0,1
differently,1,0,1
desecration,1,0,1
descends,1,0,1
department,1,0,1
deny,1,0,1
deliverance,1,0,1
deeply,1,0,1
decoration,1,0,1
decay,1,0,1
dawn,1,0,1
darker,1,0,1
dangling,1,0,1
curve,1,0,1
cult,1,0,1
crys,1,0,1
crumpled,1,0,1
crumbling,1,0,1
crudely,1,0,1
crouch,1,0,1
crossed,1,0,1
creepiest,1,0,1
creative,1,0,1
crawling,1,0,1
crack,1,0,1
counts,1,0,1
coughs,1,0,1
conversation,1,0,1
control,1,0,1
continue,1,0,1
confusion,1,0,1
confront,1,0,1
confessional,1,0,1
concerned,1,0,1
comprised,1,0,1
complete,1,0,1
complement,1,0,1
committed,1,0,1
comment,1,0,1
comes,1,0,1
collapses,1,0,1
coincidence,1,0,1
clumps,1,0,1
clue,1,0,1
closely,1,0,1
climbs,1,0,1
clearing,1,0,1
clean,1,0,1
clamed,1,0,1
clacks,1,0,1
clacker,1,0,1
circling,1,0,1
chunk,1,0,1
chew,1,0,1
cheers,1,0,1
checking,1,0,1
checked,1,0,1
charts,1,0,1
channel,1,0,1
chair,1,0,1
ceremonial,1,0,1
cemeteries,1,0,1
cart,1,0,1
carrying,1,0,1
carries,1,0,1
careful,1,0,1
canvas,1,0,1
calmer,1,0,1
cake,1,0,1
cackle,1,0,1
bust,1,0,1
bunch,1,0,1
bump,1,0,1
bugs,1,0,1
brink,1,0,1
brief,1,0,1
breathes,1,0,1
breathe,1,0,1
brave,1,0,1
bordello,1,0,1
boooooooh,1,0,1
books,1,0,1
bolivia,1,0,1
bodied,1,0,1
blue,1,0,1
bloodletting,1,0,1
bleed,1,0,1
bleating,1,0,1
bleached,1,0,1
bites,1,0,1
bends,1,0,1
belly,1,0,1
belive,1,0,1
believed,1,0,1
beings,1,0,1
beginning,1,0,1
bathroom,1,0,1
bath,1,0,1
basement,1,0,1
bang,1,0,1
ballerina,1,0,1
backs,1,0,1
awww,1,0,1
autofocuses,1,0,1
attempting,1,0,1
attacks,1,0,1
attacking,1,0,1
article,1,0,1
arm,1,0,1
apparently,1,0,1
apologize,1,0,1
anytime,1,0,1
anyones,1,0,1
anthem,1,0,1
angrily,1,0,1
anger,1,0,1
amusing,1,0,1
amount,1,0,1
amazing,1,0,1
alrighty,1,0,1
aloud,1,0,1
allowance,1,0,1
agreed,1,0,1
agitated,1,0,1
absurd,1,0,1
absolute,1,0,1
abandoned,1,0,1
heather,0,525,525
mike,0,331,331
josh,0,274,274
camera,0,62,62
map,0,44,44
ahead,0,41,41
fuck,0,39,39
tent,0,33,33
fisherman,0,23,23
car,0,21,21
woods,0,19,19
cut,0,18,18
wanna,0,16,16
weve,0,15,15
video,0,15,15
joshs,0,15,15
blair,0,15,15
guys,0,14,14
gotta,0,14,14
whispers,0,13,13
laughs,0,13,13
laughing,0,13,13
sounds,0,12,12
shot,0,12,12
rocks,0,11,11
mm,0,11,11
