word,Halloweentown,Hocus Pocus,total
chicken,0,2,2
chatter,0,2,2
celebrate,0,2,2
calling,0,2,2
buying,0,2,2
buster,0,2,2
born,0,2,2
bone,0,2,2
blowing,0,2,2
best,0,2,2
benny,0,2,2
bag,0,2,2
anymore,0,2,2
altogether,0,2,2
age,0,2,2
agatha,0,2,2
admit,0,2,2
zip,0,1,1
zero,0,1,1
youth,0,1,1
yells,0,1,1
write,0,1,1
wrap,0,1,1
worried,0,1,1
word,0,1,1
wor,0,1,1
wondering,0,1,1
wonderfully,0,1,1
wolfies,0,1,1
wolf,0,1,1
wished,0,1,1
winning,0,1,1
winner,0,1,1
windsweeper,0,1,1
win,0,1,1
williams,0,1,1
wild,0,1,1
wiccan,0,1,1
welsh,0,1,1
weirdo,0,1,1
weeks,0,1,1
wears,0,1,1
wastrel,0,1,1
waste,0,1,1
washed,0,1,1
warts,0,1,1
warlocks,0,1,1
volunteer,0,1,1
vivida,0,1,1
visits,0,1,1
visit,0,1,1
video,0,1,1
vi,0,1,1
verge,0,1,1
vastly,0,1,1
vanquished,0,1,1
vacation,0,1,1
using,0,1,1
urgent,0,1,1
urban,0,1,1
upsetting,0,1,1
upset,0,1,1
upitidas,0,1,1
unibody,0,1,1
unfair,0,1,1
underworld,0,1,1
underestimate,0,1,1
uncovered,0,1,1
unchecked,0,1,1
twice,0,1,1
turns,0,1,1
turning,0,1,1
troubles,0,1,1
troublemakers,0,1,1
trimmings,0,1,1
tricks,0,1,1
trees,0,1,1
treatment,0,1,1
trap,0,1,1
transparent,0,1,1
toxic,0,1,1
top,0,1,1
tooth,0,1,1
tolling,0,1,1
toil,0,1,1
title,0,1,1
till,0,1,1
tickets,0,1,1
ticket,0,1,1
thursday,0,1,1
threatens,0,1,1
third,0,1,1
thinning,0,1,1
thermostat,0,1,1
theater,0,1,1
thatll,0,1,1
tend,0,1,1
technician,0,1,1
taste,0,1,1
tantrum,0,1,1
taller,0,1,1
talked,0,1,1
taken,0,1,1
tackle,0,1,1
system,0,1,1
swimming,0,1,1
sweeping,0,1,1
swear,0,1,1
sundae,0,1,1
sulfuric,0,1,1
suitcase,0,1,1
suit,0,1,1
suffice,0,1,1
success,0,1,1
styx,0,1,1
stuffs,0,1,1
studies,0,1,1
streets,0,1,1
strange,0,1,1
store,0,1,1
stomach,0,1,1
stir,0,1,1
stinky,0,1,1
sticky,0,1,1
stereotypes,0,1,1
static,0,1,1
starts,0,1,1
stars,0,1,1
stare,0,1,1
standing,0,1,1
stand,0,1,1
squishing,0,1,1
squawking,0,1,1
square,0,1,1
springer,0,1,1
spook,0,1,1
split,0,1,1
spirit,0,1,1
spends,0,1,1
specifically,0,1,1
speaking,0,1,1
sounded,0,1,1
sound,0,1,1
sorts,0,1,1
songs,0,1,1
snowman,0,1,1
snazzier,0,1,1
smallest,0,1,1
slobbering,0,1,1
slimiest,0,1,1
slams,0,1,1
skinner,0,1,1
sixth,0,1,1
six,0,1,1
silly,0,1,1
signs,0,1,1
shrub,0,1,1
shrimp,0,1,1
showing,0,1,1
showed,0,1,1
shot,0,1,1
short,0,1,1
shelves,0,1,1
shed,0,1,1
settled,0,1,1
settle,0,1,1
sesame,0,1,1
seriously,0,1,1
separate,0,1,1
send,0,1,1
secret,0,1,1
second,0,1,1
sea,0,1,1
scratch,0,1,1
scheduling,0,1,1
scare,0,1,1
saying,0,1,1
saw,0,1,1
savory,0,1,1
saving,0,1,1
sand,0,1,1
sance,0,1,1
salad,0,1,1
sake,0,1,1
sadie,0,1,1
rush,0,1,1
runs,0,1,1
ruler,0,1,1
ruled,0,1,1
rule,0,1,1
rooms,0,1,1
rite,0,1,1
risks,0,1,1
rightfully,0,1,1
rhyme,0,1,1
rest,0,1,1
respect,0,1,1
residents,0,1,1
resemblance,0,1,1
replacement,0,1,1
repelle,0,1,1
removes,0,1,1
removed,0,1,1
remembering,0,1,1
recruit,0,1,1
reclaim,0,1,1
reasons,0,1,1
reading,0,1,1
razor,0,1,1
raunchiest,0,1,1
radio,0,1,1
rad,0,1,1
quod,0,1,1
queen,0,1,1
quarter,0,1,1
pushed,0,1,1
purple,0,1,1
pta,0,1,1
proves,0,1,1
proud,0,1,1
protecting,0,1,1
properly,0,1,1
proper,0,1,1
promise,0,1,1
professionals,0,1,1
problems,0,1,1
prince,0,1,1
pretending,0,1,1
prefer,0,1,1
precisely,0,1,1
practice,0,1,1
practically,0,1,1
pouring,0,1,1
potato,0,1,1
possibly,0,1,1
playing,0,1,1
plastic,0,1,1
plans,0,1,1
pitched,0,1,1
pimple,0,1,1
picked,0,1,1
pick,0,1,1
personally,0,1,1
period,0,1,1
pentagram,0,1,1
peace,0,1,1
pat,0,1,1
past,0,1,1
passed,0,1,1
passage,0,1,1
pardon,0,1,1
panting,0,1,1
palm,0,1,1
pain,0,1,1
overrated,0,1,1
overnight,0,1,1
ought,0,1,1
omelets,0,1,1
offer,0,1,1
odor,0,1,1
occur,0,1,1
obvious,0,1,1
obsessed,0,1,1
notebook,0,1,1
nos,0,1,1
nights,0,1,1
nicest,0,1,1
nicely,0,1,1
neighbors,0,1,1
neighbor,0,1,1
needed,0,1,1
natures,0,1,1
nameless,0,1,1
nada,0,1,1
nachos,0,1,1
myth,0,1,1
mysterious,0,1,1
musty,0,1,1
mushroom,0,1,1
muffled,0,1,1
muffin,0,1,1
movie,0,1,1
motorcycle,0,1,1
moose,0,1,1
mood,0,1,1
monster,0,1,1
monkeys,0,1,1
mold,0,1,1
models,0,1,1
mode,0,1,1
mocking,0,1,1
mistaken,0,1,1
miserable,0,1,1
mirage,0,1,1
minivans,0,1,1
minimart,0,1,1
mind,0,1,1
mile,0,1,1
microchip,0,1,1
metallic,0,1,1
message,0,1,1
merlin,0,1,1
merely,0,1,1
men,0,1,1
meetings,0,1,1
means,0,1,1
mayors,0,1,1
math,0,1,1
match,0,1,1
masks,0,1,1
mask,0,1,1
marrying,0,1,1
marry,0,1,1
marlie,0,1,1
mark,0,1,1
making,0,1,1
magical,0,1,1
lunch,0,1,1
loud,0,1,1
loss,0,1,1
lon,0,1,1
lollypop,0,1,1
loki,0,1,1
logic,0,1,1
lodge,0,1,1
locked,0,1,1
liver,0,1,1
listening,0,1,1
lincoln,0,1,1
limp,0,1,1
lights,0,1,1
legal,0,1,1
leftover,0,1,1
league,0,1,1
lady,0,1,1
la,0,1,1
knee,0,1,1
kinds,0,1,1
killing,0,1,1
kiddin,0,1,1
judge,0,1,1
jubentis,0,1,1
joins,0,1,1
joe,0,1,1
jerry,0,1,1
jaded,0,1,1
interested,0,1,1
instead,0,1,1
inside,0,1,1
insanity,0,1,1
influence,0,1,1
impressionable,0,1,1
impossible,0,1,1
impetit,0,1,1
immune,0,1,1
imitation,0,1,1
imitated,0,1,1
imagination,0,1,1
ideas,0,1,1
hypnotized,0,1,1
hum,0,1,1
huge,0,1,1
hubble,0,1,1
howls,0,1,1
howdy,0,1,1
horrible,0,1,1
homes,0,1,1
holiday,0,1,1
hips,0,1,1
hints,0,1,1
hinges,0,1,1
hieroglyphics,0,1,1
hiding,0,1,1
hid,0,1,1
hereditary,0,1,1
helps,0,1,1
hed,0,1,1
heard,0,1,1
heads,0,1,1
headless,0,1,1
headache,0,1,1
haunts,0,1,1
hateful,0,1,1
hasnt,0,1,1
hanging,0,1,1
handful,0,1,1
handed,0,1,1
hallucinating,0,1,1
hairstyling,0,1,1
hades,0,1,1
gwens,0,1,1
gwendolyn,0,1,1
gunther,0,1,1
gum,0,1,1
guggenheim,0,1,1
grunts,0,1,1
grown,0,1,1
growing,0,1,1
grow,0,1,1
grounded,0,1,1
groaning,0,1,1
grip,0,1,1
graveyards,0,1,1
grandmothers,0,1,1
grandmother,0,1,1
grandkids,0,1,1
goose,0,1,1
goodbye,0,1,1
gnomes,0,1,1
gnome,0,1,1
glory,0,1,1
glo,0,1,1
glad,0,1,1
gives,0,1,1
generations,0,1,1
gave,0,1,1
gasps,0,1,1
gang,0,1,1
gander,0,1,1
gah,0,1,1
fungus,0,1,1
fumes,0,1,1
frustrating,0,1,1
frozen,0,1,1
frog,0,1,1
frightening,0,1,1
freezes,0,1,1
freak,0,1,1
frankenstein,0,1,1
formula,0,1,1
forgotten,0,1,1
forgot,0,1,1
forces,0,1,1
forced,0,1,1
foolish,0,1,1
food,0,1,1
follows,0,1,1
followed,0,1,1
folks,0,1,1
flying,0,1,1
flowers,0,1,1
flights,0,1,1
fitness,0,1,1
finishing,0,1,1
finish,0,1,1
fingertips,0,1,1
finds,0,1,1
filet,0,1,1
figure,0,1,1
field,0,1,1
fetch,0,1,1
felt,0,1,1
feeling,0,1,1
feared,0,1,1
fast,0,1,1
fare,0,1,1
fall,0,1,1
fairy,0,1,1
faces,0,1,1
fabulous,0,1,1
eyeballs,0,1,1
extra,0,1,1
explore,0,1,1
explain,0,1,1
expert,0,1,1
expected,0,1,1
exotic,0,1,1
exiled,0,1,1
exile,0,1,1
excuses,0,1,1
exciting,0,1,1
excited,0,1,1
excellent,0,1,1
everyones,0,1,1
everybodys,0,1,1
eureka,0,1,1
espresso,0,1,1
escape,0,1,1
enjoy,0,1,1
english,0,1,1
engine,0,1,1
energy,0,1,1
energies,0,1,1
ends,0,1,1
encyclopedia,0,1,1
encouragement,0,1,1
electricity,0,1,1
election,0,1,1
egyptian,0,1,1
eggs,0,1,1
educational,0,1,1
eating,0,1,1
earlier,0,1,1
dying,0,1,1
dybbuks,0,1,1
dryers,0,1,1
dropping,0,1,1
drives,0,1,1
driver,0,1,1
drinking,0,1,1
dress,0,1,1
dreadful,0,1,1
drawing,0,1,1
dragonfly,0,1,1
dozens,0,1,1
dow,0,1,1
doorknob,0,1,1
dollars,0,1,1
dogs,0,1,1
documentary,0,1,1
doctor,0,1,1
doc,0,1,1
district,0,1,1
distance,0,1,1
disobey,0,1,1
disneylands,0,1,1
disease,0,1,1
discussion,0,1,1
discovered,0,1,1
directional,0,1,1
differently,0,1,1
dictu,0,1,1
details,0,1,1
detailing,0,1,1
destiny,0,1,1
depressed,0,1,1
demon,0,1,1
deluxe,0,1,1
delayed,0,1,1
degree,0,1,1
defies,0,1,1
decide,0,1,1
dears,0,1,1
dated,0,1,1
dank,0,1,1
daddy,0,1,1
curb,0,1,1
cupidinis,0,1,1
cs,0,1,1
cruise,0,1,1
cromwwell,0,1,1
croaking,0,1,1
crispy,0,1,1
create,0,1,1
cream,0,1,1
creaking,0,1,1
crashing,0,1,1
coven,0,1,1
count,0,1,1
copied,0,1,1
cookin,0,1,1
cookbook,0,1,1
controlled,0,1,1
continues,0,1,1
contest,0,1,1
construction,0,1,1
conserve,0,1,1
conquering,0,1,1
conquer,0,1,1
confess,0,1,1
completion,0,1,1
completely,0,1,1
compared,0,1,1
comedian,0,1,1
closing,0,1,1
closed,0,1,1
clock,0,1,1
cleveland,0,1,1
clan,0,1,1
claims,0,1,1
citizens,0,1,1
ciente,0,1,1
chuckles,0,1,1
chrome,0,1,1
chose,0,1,1
choices,0,1,1
childhood,0,1,1
chickens,0,1,1
chez,0,1,1
cheering,0,1,1
chattering,0,1,1
charter,0,1,1
characters,0,1,1
character,0,1,1
chaos,0,1,1
chaney,0,1,1
certainly,0,1,1
certain,0,1,1
cereal,0,1,1
cellar,0,1,1
cawing,0,1,1
cavities,0,1,1
causes,0,1,1
cast,0,1,1
cackles,0,1,1
cab,0,1,1
buy,0,1,1
busy,0,1,1
business,0,1,1
buses,0,1,1
bury,0,1,1
bums,0,1,1
bs,0,1,1
broken,0,1,1
bristles,0,1,1
bringing,0,1,1
bride,0,1,1
breaking,0,1,1
breakfast,0,1,1
boyfriend,0,1,1
box,0,1,1
bowls,0,1,1
bowling,0,1,1
bowl,0,1,1
boss,0,1,1
borealis,0,1,1
books,0,1,1
bonehead,0,1,1
bogeyman,0,1,1
body,0,1,1
blue,0,1,1
blade,0,1,1
bitten,0,1,1
bite,0,1,1
birthright,0,1,1
bikinis,0,1,1
benighted,0,1,1
belong,0,1,1
believing,0,1,1
beeping,0,1,1
bedtime,0,1,1
beds,0,1,1
beauty,0,1,1
beating,0,1,1
battle,0,1,1
barking,0,1,1
bar,0,1,1
banshees,0,1,1
baked,0,1,1
badgering,0,1,1
babysitter,0,1,1
awful,0,1,1
aware,0,1,1
awake,0,1,1
aw,0,1,1
available,0,1,1
aurora,0,1,1
audience,0,1,1
attention,0,1,1
assume,0,1,1
arthurs,0,1,1
arthur,0,1,1
arms,0,1,1
arguing,0,1,1
argh,0,1,1
arent,0,1,1
arbor,0,1,1
appreciates,0,1,1
apple,0,1,1
applause,0,1,1
apologize,0,1,1
annoys,0,1,1
animatronic,0,1,1
animal,0,1,1
amazing,0,1,1
aleck,0,1,1
agua,0,1,1
aggies,0,1,1
ages,0,1,1
afterlife,0,1,1
added,0,1,1
acid,0,1,1
absolutely,0,1,1
abracadabra,0,1,1
abominable,0,1,1
